Number of hours worked last week,Marital status,Highest year of school completed,Rs income in constant $,Condition of health,Have gun in home,Hours per day watching tv,Time at current job,Respondents astrological sign
8,Married,14,2205,Fair,Yes,2,-1,Capricorn
24,Never married,12,6738,Excellent,No,2,-1,Leo
40,Never married,16,18375,Excellent,No,1,-1,Aquarius
17,Married,9,5513,Good,Yes,2,-1,Aquarius
40,Married,11,10413,Poor,Yes,5,-1,Virgo
20,Never married,12,3675,Excellent,Yes,1,-1,Sagittarius
60,Married,14,10413,Good,Yes,2,-1,Leo
32,Divorced,20,49000,Excellent,Yes,1,-1,Taurus
40,Married,15,13475,Good,No,1,-1,Aries
40,Never married,13,13475,Excellent,No,1,-1,Libra
43,Never married,11,980,Excellent,No,3,-1,Capricorn
40,Divorced,12,6738,Good,Yes,6,-1,Taurus
50,Divorced,12,10413,Good,Yes,1,-1,Aquarius
40,Married,12,11638,Excellent,Yes,4,-1,Pisces
40,Married,12,11638,Excellent,No,2,-1,Aries
44,Divorced,14,15925,Good,Refused,3,-1,Aries
53,Never married,13,22050,Good,Yes,2,-1,Cancer
36,Never married,11,5513,Good,No,2,-1,Pisces
40,Never married,12,3675,Excellent,No,5,-1,Libra
45,Married,12,15925,Excellent,Yes,3,-1,Pisces
68,Married,12,33075,Good,Yes,1,-1,Capricorn
40,Never married,16,18375,Good,No,3,-1,Libra
50,Married,16,40425,Good,No,3,-1,Virgo
50,Never married,11,2695,Fair,Yes,6,-1,Cancer
40,Never married,17,33075,Good,No,3,-1,Aries
40,Never married,15,22050,Fair,Yes,5,-1,Cancer
48,Divorced,17,33075,Excellent,Yes,2,-1,Pisces
55,Divorced,12,22050,Good,No,3,-1,Scorpio
40,Never married,12,13475,Fair,No,4,-1,Capricorn
55,Married,12,22050,Good,No,3,-1,Cancer
40,Never married,19,26950,Good,Yes,4,-1,Leo
44,Never married,12,5513,Excellent,Yes,0,-1,Virgo
40,Married,12,1715,Good,No,2,-1,Cancer
44,Never married,12,15925,Good,No,3,-1,Pisces
40,Married,12,10413,Excellent,No,10,-1,Gemini
50,Divorced,16,5513,Good,No,3,-1,Scorpio
19,Never married,12,980,Excellent,Yes,3,-1,Taurus
50,Married,14,26950,Fair,Yes,1,-1,Gemini
30,Separated,12,6738,Excellent,Yes,2,-1,Capricorn
50,Married,20,341672,Excellent,No,1,-1,Aries
46,Divorced,12,18375,Good,Yes,1,-1,Virgo
44,Married,12,18375,Fair,Yes,5,-1,Aries
40,Married,12,15925,Excellent,Yes,2,-1,Cancer
37,Married,14,13475,Good,Yes,1,-1,Pisces
35,Divorced,15,15925,Good,Yes,0,-1,Scorpio
55,Married,16,341672,Excellent,No,2,-1,Sagittarius
46,Married,13,22050,Good,Yes,3,-1,Scorpio
40,Married,16,49000,Good,Yes,1,-1,Libra
40,Married,12,22050,Good,No,4,-1,Pisces
65,Never married,12,9188,Good,No,2,-1,Virgo
20,Never married,12,6738,Good,No,3,-1,Gemini
55,Married,16,26950,Fair,Yes,1,-1,Virgo
80,Married,17,49000,Good,Yes,2,-1,Sagittarius
40,Married,12,3185,Excellent,No,2,-1,Taurus
46,Married,12,11638,Good,Yes,5,-1,Pisces
40,Married,14,11638,Excellent,No,2,-1,Taurus
40,Divorced,13,18375,Excellent,Yes,3,-1,Libra
40,Married,19,22050,Fair,Yes,1,-1,Aquarius
40,Divorced,12,22050,Excellent,Refused,1,-1,Aquarius
80,Never married,17,13475,Excellent,No,2,-1,Libra
47,Never married,11,15925,Excellent,Yes,3,-1,Sagittarius
40,Married,14,22050,Fair,Yes,4,-1,Gemini
55,Married,20,40425,Good,Yes,0,-1,Scorpio
40,Never married,12,10413,Good,Yes,5,-1,Scorpio
80,Divorced,18,58800,Good,No,0,-1,Sagittarius
40,Divorced,14,22050,Good,Yes,0,-1,Libra
40,Never married,14,13475,Fair,No,1,-1,Cancer
60,Never married,17,15925,Excellent,Yes,2,-1,Scorpio
40,Never married,15,13475,Fair,No,3,-1,Gemini
40,Married,12,22050,Good,No,1,-1,Virgo
30,Married,13,6738,Fair,No,0,-1,Virgo
60,Married,17,11638,Good,No,0,-1,Virgo
70,Divorced,13,7963,Good,Yes,1,-1,Aries
80,Divorced,12,40425,Excellent,No,2,-1,Capricorn
45,Never married,14,18375,Good,No,1,-1,Sagittarius
40,Married,17,980,Fair,Yes,2,-1,Aquarius
24,Never married,18,6738,Good,Yes,3,-1,Capricorn
20,Separated,19,980,Excellent,No,2,-1,Capricorn
1,Married,19,33075,Good,No,3,-1,Pisces
28,Separated,11,2205,Fair,No,3,-1,Virgo
40,Married,18,26950,Excellent,Yes,1,-1,Aries
40,Divorced,14,18375,Excellent,No,6,-1,Sagittarius
35,Married,17,9188,Good,No,3,-1,Cancer
19,Married,18,10413,Good,No,2,-1,Scorpio
40,Married,12,13475,Good,Yes,2,-1,Gemini
34,Divorced,12,5513,Excellent,No,10,-1,Pisces
30,Never married,11,6738,Fair,No,2,-1,Libra
50,Married,14,18375,Good,No,1,-1,Libra
48,Married,2,15925,Excellent,Yes,1,-1,Leo
30,Never married,13,4410,Excellent,No,4,-1,Libra
43,Never married,17,11638,Good,No,2,-1,Aquarius
40,Married,14,13475,Good,Yes,2,-1,Libra
50,Married,15,13475,Good,Yes,3,-1,Libra
89,Married,13,11638,Excellent,No,8,-1,Virgo
89,Married,12,40425,Good,Yes,1,-1,Capricorn
70,Married,20,341672,Excellent,No,1,-1,Taurus
24,Married,18,7963,Excellent,No,3,-1,Gemini
32,Married,14,22050,Good,No,1,-1,Sagittarius
40,Never married,13,18375,Poor,No,2,-1,Cancer
80,Married,12,33075,Excellent,Yes,3,-1,Taurus
30,Married,12,6738,Good,Yes,3,-1,Leo
45,Divorced,13,33075,Poor,Yes,2,-1,Gemini
70,Married,12,13475,Excellent,Yes,1,-1,Pisces
44,Never married,14,11638,Good,No,4,-1,Capricorn
31,Married,12,9188,Fair,Yes,4,-1,Virgo
40,Divorced,13,11638,Fair,No,3,-1,Gemini
40,Married,6,9188,Fair,No,10,-1,Pisces
30,Married,14,22050,Good,Yes,4,-1,Gemini
60,Divorced,14,33075,Good,Yes,3,-1,Aries
60,Married,16,33075,Excellent,No,0,-1,Sagittarius
72,Married,12,1715,Excellent,Yes,3,-1,Virgo
40,Married,16,15925,Good,No,4,-1,Libra
45,Never married,17,33075,Excellent,Yes,2,-1,Leo
48,Divorced,16,13475,Good,No,0,-1,Gemini
40,Widowed,13,22050,Excellent,Yes,1,-1,Pisces
40,Never married,17,18375,Excellent,No,4,-1,Scorpio
60,Married,12,22050,Excellent,Yes,1,-1,Leo
20,Divorced,12,5513,Excellent,No,3,-1,Pisces
50,Married,12,15925,Excellent,Yes,1,-1,Scorpio
8,Never married,12,4410,Good,Yes,2,-1,Scorpio
40,Married,12,15925,Good,Yes,3,-1,Libra
45,Married,17,26950,Excellent,Yes,1,-1,Scorpio
60,Married,20,26950,Excellent,No,6,-1,Pisces
60,Never married,17,10413,Good,Yes,3,-1,Aquarius
40,Never married,19,13475,Good,Yes,3,-1,Aquarius
20,Married,11,5513,Excellent,No,10,-1,Scorpio
40,Never married,15,10413,Good,No,3,-1,Libra
48,Married,12,980,Good,Yes,2,-1,Libra
34,Married,4,1715,Excellent,No,1,-1,Aquarius
40,Separated,12,9188,Excellent,No,3,-1,Leo
40,Married,12,5513,Good,Refused,4,-1,Cancer
40,Divorced,12,33075,Good,Yes,2,-1,Aquarius
50,Married,12,15925,Good,Yes,2,-1,Libra
40,Married,16,11638,Good,No,0,-1,Sagittarius
60,Married,19,22050,Excellent,No,2,-1,Scorpio
25,Widowed,14,3185,Good,Yes,2,-1,Taurus
40,Married,13,26950,Good,Yes,4,-1,Virgo
60,Married,17,132148,Excellent,No,1,-1,Scorpio
37,Married,11,11234,Good,No,2,10,Leo
38,Divorced,14,11234,Excellent,No,1,3,Virgo
40,Separated,13,11234,Good,No,2,3,Taurus
40,Divorced,16,21285,Good,No,3,39,Gemini
40,Never married,11,4257,Good,No,4,-1,Sagittarius
45,Never married,15,26015,Excellent,No,3,6,Taurus
40,Married,11,31928,Excellent,No,1,33,Gemini
40,Married,15,56760,Good,No,2,9,Libra
40,Married,14,15373,Excellent,No,4,4,Sagittarius
40,Married,18,39023,Good,No,1,-1,Gemini
16,Never married,17,946,Excellent,No,1,6-11.9 months,Pisces
55,Married,20,66220,Good,No,0,-1,Pisces
65,Never married,12,26015,Good,No,6,4,Libra
40,Never married,16,17738,Excellent,No,3,2,Leo
40,Married,20,39023,Excellent,No,1,14,Aquarius
40,Never married,16,13008,Excellent,No,4,9,Gemini
57,Never married,20,21285,Excellent,No,1,-1,Libra
30,Married,20,132148,Good,Yes,3,30,Gemini
40,Married,20,39023,Good,No,2,-1,Taurus
40,Never married,13,3075,Excellent,No,2,Less than 6 months,Cancer
60,Married,14,47300,Fair,Yes,1,27,Scorpio
25,Never married,16,56760,Good,No,2,-1,Pisces
40,Divorced,16,5321,Fair,No,2,4,Aries
48,Never married,12,1656,Fair,No,7,Less than 6 months,Taurus
40,Divorced,16,31928,Poor,Refused,4,-1,Libra
45,Married,16,31928,Good,No,1,Less than 6 months,Taurus
32,Separated,11,17738,Good,No,2,6,Gemini
28,Married,3,4257,Fair,No,3,8,Sagittarius
40,Separated,14,26015,Good,No,1,1,Libra
37,Married,16,7686,Excellent,No,2,6,Scorpio
40,Married,17,39023,Good,No,1,-1,Cancer
40,Never married,16,7686,Excellent,No,1,-1,Aquarius
48,Married,16,26015,Good,No,3,45,Aquarius
40,Never married,12,31928,Fair,No,3,27,Taurus
20,Never married,14,8869,Good,No,1,6,Aries
50,Married,19,26015,Good,No,1,11,Virgo
12,Married,15,946,Good,Yes,1,-1,Libra
20,Married,12,2129,Fair,Yes,4,22,Libra
40,Divorced,16,26015,Fair,No,4,23,Aquarius
40,Divorced,19,66220,Excellent,No,1,13,Gemini
51,Married,15,31928,Good,No,0,16,Scorpio
40,Married,17,31928,Good,No,2,9,Aquarius
38,Married,13,11234,Good,No,1,2,Pisces
50,Married,18,31928,Good,No,3,Less than 6 months,Scorpio
48,Never married,11,2602,Excellent,No,6,6-11.9 months,Capricorn
50,Divorced,12,132148,Good,Yes,0,6-11.9 months,Aries
60,Married,16,132148,Excellent,Yes,1,Less than 6 months,Gemini
50,Married,16,66220,Excellent,Yes,1,2,Sagittarius
50,Married,12,47300,Good,Refused,0,-1,Leo
50,Married,13,132148,Good,No,1,27,Virgo
40,Married,18,31928,Excellent,No,1,4,Cancer
24,Married,20,31928,Fair,No,2,2,Pisces
80,Married,12,26015,Good,No,1,6-11.9 months,Libra
40,Never married,14,17738,Good,No,2,2,Leo
50,Married,16,31928,Excellent,No,1,2,Aries
37,Never married,13,11234,Excellent,No,5,99,Capricorn
45,Married,17,26015,Excellent,No,2,4,Cancer
40,Widowed,13,21285,Good,Yes,3,10,Capricorn
40,Married,20,39023,Good,No,2,6-11.9 months,Virgo
66,Married,11,132148,Good,Yes,1,17,Taurus
10,Never married,16,237,Excellent,No,2,6-11.9 months,Scorpio
45,Married,20,1656,Excellent,No,0,-1,Virgo
40,Never married,12,26015,Fair,Yes,1,-1,Capricorn
60,Married,17,132148,Excellent,No,1,32,Gemini
45,Married,20,10051,Good,No,3,-1,Libra
50,Married,16,31928,Good,No,2,3,Gemini
40,Married,18,7686,Good,No,2,-1,Scorpio
40,Married,12,5321,Good,No,3,-1,Aries
42,Never married,16,13008,Good,No,4,3,Gemini
47,Never married,17,15373,Excellent,No,2,2,Leo
40,Married,16,21285,Good,No,2,17,Pisces
40,Married,13,17738,Good,Yes,5,12,Aquarius
62,Never married,12,26015,Good,No,3,-1,Virgo
40,Married,13,17738,Fair,No,3,10,Taurus
56,Divorced,16,15373,Excellent,No,0,15,Capricorn
37,Never married,16,15373,Good,No,2,-1,Gemini
40,Never married,17,56760,Fair,No,1,1,Aquarius
16,Married,12,237,Good,No,5,Less than 6 months,Capricorn
40,Never married,16,39023,Excellent,Yes,1,6-11.9 months,Sagittarius
30,Married,15,6504,Good,No,2,10,Leo
32,Married,16,21285,Good,Yes,2,26,Sagittarius
40,Married,12,26015,Good,Yes,3,34,Aries
50,Married,16,26015,Excellent,Yes,1,5,Virgo
20,Divorced,14,7686,Excellent,Yes,6,-1,Cancer
18,Separated,13,3075,Excellent,No,7,1,Virgo
50,Married,16,31928,Good,Yes,2,-1,Pisces
50,Married,16,31928,Excellent,Yes,1,20,Pisces
40,Divorced,15,7686,Good,No,5,9,Aries
40,Married,20,47300,Fair,Yes,3,4,Scorpio
40,Married,16,26015,Excellent,No,5,2,Libra
40,Married,16,31928,Excellent,No,1,2,Libra
65,Married,14,39023,Excellent,No,3,10,Scorpio
44,Never married,13,6504,Good,No,5,-1,Leo
50,Never married,16,21285,Excellent,Yes,2,-1,Leo
50,Married,18,39023,Fair,Yes,3,3,Sagittarius
42,Married,9,17738,Good,No,2,8,Pisces
40,Divorced,12,13008,Good,No,2,5,Scorpio
50,Never married,16,31928,Fair,No,4,9,Sagittarius
60,Divorced,14,31928,Good,Yes,1,15,Sagittarius
40,Widowed,12,21285,Good,Yes,2,-1,Scorpio
35,Married,15,946,Good,Yes,3,Less than 6 months,Pisces
40,Married,16,39023,Good,No,3,15,Aries
21,Never married,12,4257,Excellent,No,24,2,Aquarius
35,Never married,12,5321,Good,No,3,1,Aries
36,Never married,15,11234,Good,Yes,1,Less than 6 months,Scorpio
40,Never married,12,17738,Excellent,No,1,5,Capricorn
35,Married,18,26015,Good,No,3,15,Pisces
40,Separated,14,15373,Good,No,2,13,Capricorn
48,Married,20,31928,Excellent,Refused,3,4,Libra
40,Married,11,7686,Good,No,1,5,Libra
56,Married,14,21285,Excellent,Yes,4,19,Virgo
40,Separated,12,6504,Good,No,2,7,Virgo
40,Married,12,26015,Excellent,No,2,7,Aries
8,Widowed,16,6504,Good,No,5,2,Sagittarius
60,Never married,13,2129,Excellent,No,3,2,Sagittarius
75,Never married,20,66220,Excellent,No,0,1,Virgo
43,Separated,13,26015,Fair,Yes,5,-1,Gemini
48,Married,12,26015,Good,No,1,20,Scorpio
60,Married,19,56760,Good,No,1,-1,Aries
50,Married,19,47300,Good,No,2,-1,Gemini
85,Never married,8,17738,Excellent,No,1,3,Aries
39,Never married,12,946,Excellent,No,0,6-11.9 months,Gemini
40,Married,12,6504,Good,No,4,1,Leo
37,Never married,12,17738,Good,No,3,14,Libra
25,Separated,8,5321,Fair,No,2,3,Leo
40,Married,16,13008,Good,No,2,9,Scorpio
36,Never married,13,10051,Good,No,5,3,Leo
40,Never married,14,13008,Excellent,No,2,6-11.9 months,Leo
40,Divorced,19,132148,Good,Yes,4,43,Aries
40,Married,18,39023,Good,No,1,-1,Aquarius
20,Married,14,10051,Excellent,No,4,Less than 6 months,Cancer
30,Married,15,2602,Good,No,4,6-11.9 months,Taurus
40,Married,19,10051,Excellent,No,0,2,Pisces
40,Married,15,17738,Fair,No,2,2,Taurus
45,Never married,16,31928,Good,No,0,-1,Aries
30,Married,20,47300,Excellent,Yes,1,-1,Gemini
40,Never married,16,26015,Good,No,2,5,Gemini
40,Divorced,13,17738,Good,Yes,4,3,Aries
40,Divorced,13,10051,Excellent,No,0,10,Leo
40,Never married,12,2602,Good,No,0,6-11.9 months,Libra
40,Married,16,47300,Excellent,Yes,3,27,Pisces
45,Never married,14,17738,Good,No,2,-1,Scorpio
45,Married,16,31928,Excellent,No,2,6-11.9 months,Aries
89,Divorced,14,47300,Good,Yes,0,7,Pisces
65,Divorced,16,31928,Fair,No,4,23,Libra
50,Married,12,7686,Good,No,2,-1,Virgo
1,Married,16,3548,Excellent,Yes,2,18,Virgo
50,Married,16,132148,Excellent,Yes,1,20,Aquarius
2,Married,15,15373,Fair,No,1,17,Sagittarius
20,Married,14,13008,Good,Yes,1,4,Pisces
40,Married,12,31928,Excellent,Yes,0,-1,Sagittarius
30,Never married,14,47300,Good,Yes,3,1,Sagittarius
46,Never married,13,26015,Good,No,4,9,Virgo
57,Never married,13,26015,Good,No,0,10,Sagittarius
80,Never married,13,10051,Good,No,5,2,Sagittarius
43,Never married,12,11234,Good,No,5,-1,Aries
44,Divorced,11,13008,Good,No,4,6,Scorpio
40,Married,13,21285,Good,No,2,8,Leo
48,Never married,11,17738,Fair,No,3,10,Libra
60,Married,18,31928,Fair,No,2,1,Capricorn
40,Divorced,12,17738,Excellent,Yes,0,2,Virgo
42,Never married,17,66220,Excellent,No,3,2,Aries
40,Married,6,5321,Good,No,3,6-11.9 months,Libra
80,Divorced,14,6504,Good,No,5,Less than 6 months,Libra
32,Divorced,16,26015,Excellent,No,2,11,Scorpio
45,Married,14,31928,Good,No,2,29,Leo
55,Married,16,56760,Excellent,Yes,6,10,Libra
40,Married,14,10051,Good,No,1,5,Aquarius
40,Divorced,14,13008,Good,No,2,-1,Gemini
47,Divorced,18,39023,Good,Yes,2,4,Leo
60,Never married,16,26015,Excellent,No,2,-1,Pisces
40,Married,15,11234,Poor,Yes,4,-1,Taurus
46,Never married,13,13008,Fair,No,1,1,Aquarius
42,Married,12,15373,Excellent,No,4,-1,Libra
36,Married,16,15373,Good,Yes,3,1,Capricorn
30,Never married,14,13008,Good,Yes,3,-1,Cancer
60,Never married,16,17738,Fair,No,1,5,Scorpio
20,Divorced,12,8869,Good,Yes,1,16,Aries
50,Married,10,8869,Poor,No,6,-1,Cancer
40,Married,18,21285,Excellent,No,2,6-11.9 months,Leo
56,Married,12,31928,Good,Yes,2,16,Aries
16,Married,14,8869,Good,No,3,-1,Sagittarius
40,Divorced,14,47300,Good,Yes,0,15,Cancer
40,Divorced,14,26015,Good,Yes,4,8,Cancer
40,Married,12,21285,Fair,Yes,2,42,Virgo
60,Divorced,16,31928,Excellent,No,1,8,Taurus
54,Married,15,26015,Good,No,1,17,Scorpio
35,Married,20,132148,Good,Yes,2,2,Libra
40,Separated,3,13008,Good,No,0,6,Sagittarius
38,Divorced,12,10051,Fair,No,2,9,Scorpio
30,Never married,15,6504,Excellent,No,1,7,Aquarius
8,Married,16,6504,Excellent,Yes,2,14,Gemini
40,Divorced,12,15373,Fair,No,4,3,Leo
40,Divorced,15,15373,Good,No,3,6-11.9 months,Taurus
30,Widowed,10,13008,Good,No,8,8,Pisces
28,Married,12,21285,Good,Refused,2,16,Leo
40,Married,12,10051,Fair,No,3,3,Cancer
40,Separated,12,6504,Excellent,No,3,1,Leo
89,Married,14,56760,Fair,Yes,2,-1,Leo
50,Married,20,47300,Good,Yes,1,3,Virgo
45,Never married,17,26015,Excellent,No,0,1,Aquarius
40,Never married,14,17738,Excellent,Yes,2,2,Leo
55,Never married,16,47300,Excellent,No,3,-1,Gemini
60,Married,12,26015,Good,Yes,1,14,Virgo
40,Never married,18,8869,Good,No,0,-1,Aquarius
60,Married,16,39023,Fair,No,1,-1,Pisces
45,Married,14,26015,Excellent,Yes,1,12,Scorpio
40,Married,16,39023,Good,No,1,7,Pisces
40,Married,16,21285,Good,No,1,6-11.9 months,Taurus
20,Never married,16,7686,Fair,No,0,3,Leo
25,Divorced,15,39023,Excellent,No,1,-1,Cancer
35,Widowed,10,15373,Good,No,2,22,Cancer
30,Married,18,5321,Good,No,1,-1,Aries
30,Never married,10,6504,Fair,No,2,4,Capricorn
32,Never married,16,7686,Excellent,No,1,6-11.9 months,Libra
39,Never married,16,15373,Good,No,4,8,Libra
50,Married,19,47300,Good,No,1,30,Cancer
65,Never married,13,11234,Good,Yes,2,11,Scorpio
48,Married,14,17738,Excellent,Yes,2,13,Libra
70,Widowed,12,10051,Good,No,2,15,Cancer
40,Married,12,26015,Good,Yes,2,-1,Gemini
50,Married,12,8869,Good,Yes,1,12,Cancer
45,Divorced,14,26015,Fair,Yes,4,1,Taurus
40,Never married,16,5321,Excellent,No,0,-1,Libra
60,Married,9,31928,Good,Yes,2,40,Aries
60,Married,16,31928,Excellent,Yes,0,-1,Taurus
30,Married,12,1656,Fair,No,2,7,Virgo
40,Married,16,15373,Good,Yes,2,-1,Pisces
39,Never married,12,2602,Excellent,No,0,3,Libra
30,Never married,10,7686,Excellent,No,2,15,Taurus
20,Widowed,10,1656,Good,No,4,8,Sagittarius
48,Married,12,13008,Good,Yes,2,25,Aquarius
40,Never married,12,11234,Good,Yes,3,4,Aries
40,Separated,11,2602,Good,No,2,1,Aquarius
89,Married,16,66220,Excellent,Yes,2,2,Aries
50,Married,12,5321,Good,No,5,6-11.9 months,Libra
30,Married,12,7686,Fair,Yes,5,6-11.9 months,Leo
15,Married,10,3075,Fair,Yes,3,1,Libra
40,Married,20,31928,Excellent,Yes,2,10,Libra
35,Never married,10,4257,Good,No,10,3,Libra
40,Never married,12,10051,Good,No,5,8,Scorpio
12,Married,14,2602,Good,No,4,Less than 6 months,Pisces
40,Married,12,8869,Good,No,1,6,Pisces
12,Married,13,11234,Excellent,No,1,7,Pisces
40,Married,13,5321,Excellent,No,2,2,Virgo
47,Married,12,31928,Good,Yes,2,13,Libra
40,Never married,16,31928,Good,No,1,2,Gemini
40,Never married,12,15373,Fair,No,2,2,Leo
40,Divorced,13,5321,Fair,No,6,-1,Taurus
40,Married,8,13008,Excellent,Yes,4,4,Leo
70,Divorced,12,21285,Good,Yes,3,10,Aquarius
62,Married,11,31928,Excellent,Yes,2,5,Virgo
60,Never married,16,13008,Excellent,No,3,9,Taurus
40,Never married,13,15373,Good,No,3,4,Cancer
40,Divorced,16,21285,Fair,No,2,10,Sagittarius
40,Never married,16,5321,Excellent,No,2,-1,Leo
40,Divorced,18,31928,Fair,Yes,2,18,Sagittarius
31,Never married,12,26015,Good,No,1,2,Pisces
80,Divorced,14,13008,Good,No,4,3,Scorpio
40,Married,20,31928,Good,Yes,2,1,Pisces
89,Married,12,7686,Fair,No,6,-1,Virgo
55,Divorced,16,56760,Good,No,1,11,Scorpio
40,Married,16,132148,Good,No,1,20,Gemini
20,Married,12,6504,Good,No,4,1,Cancer
30,Married,14,11234,Good,Yes,2,8,Gemini
50,Divorced,18,39023,Excellent,No,1,17,Scorpio
40,Widowed,16,21285,Excellent,Yes,1,-1,Capricorn
24,Married,18,56760,Fair,Yes,3,-1,Scorpio
43,Never married,14,8869,Excellent,Yes,2,6-11.9 months,Capricorn
40,Married,16,26015,Good,Yes,2,6-11.9 months,Pisces
45,Married,12,26015,Good,Yes,1,5,Libra
51,Married,13,15373,Good,No,2,7,Taurus
48,Married,14,39023,Good,Yes,1,19,Aquarius
24,Married,12,6504,Excellent,No,2,Less than 6 months,Cancer
40,Married,12,21285,Good,Yes,6,-1,Libra
47,Separated,11,15373,Fair,No,2,4,Aquarius
40,Married,14,26015,Good,Yes,3,11,Leo
50,Divorced,16,31928,Good,No,2,-1,Cancer
50,Married,12,15373,Excellent,No,2,-1,Gemini
45,Separated,12,8869,Fair,No,2,3,Sagittarius
40,Married,12,13008,Good,Yes,2,1,Leo
60,Divorced,9,7686,Fair,No,3,10,Virgo
65,Married,19,132148,Excellent,No,1,-1,Sagittarius
70,Married,17,6504,Fair,Yes,1,4,Pisces
50,Never married,20,21285,Good,No,2,2,Sagittarius
40,Married,14,15373,Fair,No,3,4,Virgo
40,Divorced,18,1656,Excellent,No,4,Less than 6 months,Aries
40,Divorced,16,17738,Excellent,No,2,-1,Pisces
15,Married,14,2602,Fair,No,4,6-11.9 months,Libra
40,Married,18,21285,Fair,Yes,4,25,Gemini
40,Married,17,7686,Good,Yes,3,24,Leo
40,Married,16,21285,Good,Yes,1,6,Capricorn
50,Never married,14,7686,Excellent,No,4,3,Pisces
16,Married,12,6504,Good,Yes,4,-1,Sagittarius
53,Widowed,12,31928,Excellent,Yes,4,42,Scorpio
70,Divorced,13,31928,Good,No,2,9,Aquarius
44,Married,16,21285,Good,Yes,1,19,Virgo
40,Married,16,47300,Excellent,Yes,1,30,Aquarius
47,Married,13,21285,Good,Yes,1,1,Cancer
45,Never married,16,31928,Good,No,3,34,Cancer
47,Divorced,18,26015,Good,No,2,3,Aquarius
30,Divorced,12,237,Excellent,Yes,2,8,Taurus
40,Married,14,31928,Excellent,Yes,1,12,Taurus
38,Divorced,14,26015,Good,Refused,3,20,Libra
39,Married,12,11234,Good,No,4,9,Sagittarius
43,Never married,6,15373,Fair,No,2,7,Virgo
60,Married,20,132148,Excellent,Yes,0,6,Aquarius
40,Divorced,12,10051,Good,Yes,2,-1,Virgo
55,Never married,12,17738,Good,Yes,2,4,Leo
50,Married,12,21285,Good,Yes,2,-1,Libra
68,Never married,12,8869,Good,No,0,-1,Sagittarius
45,Never married,14,11234,Good,No,2,3,Virgo
40,Married,17,21285,Good,No,2,-1,Cancer
60,Widowed,12,26015,Good,Yes,2,3,Virgo
45,Divorced,11,8869,Good,No,4,2,Leo
40,Never married,16,10051,Excellent,No,3,5,Libra
12,Divorced,14,7686,Good,Yes,2,Less than 6 months,Libra
40,Never married,16,17738,Good,No,3,6-11.9 months,Sagittarius
40,Never married,13,1656,Excellent,Yes,2,-1,Pisces
32,Widowed,12,6504,Excellent,No,3,-1,Capricorn
89,Married,12,47300,Good,Yes,3,-1,Aries
60,Never married,17,26015,Good,No,1,11,Aries
60,Married,8,39023,Good,No,1,-1,Aquarius
40,Married,12,132148,Excellent,No,3,11,Pisces
50,Married,4,13008,Good,No,0,-1,Cancer
30,Married,15,13008,Excellent,No,1,15,Pisces
89,Divorced,12,11234,Good,No,5,3,Taurus
40,Widowed,15,21285,Good,No,3,4,Cancer
45,Never married,19,31928,Excellent,No,2,4,Libra
50,Divorced,18,21285,Excellent,No,2,-1,Leo
40,Divorced,16,39023,Good,No,4,2,Sagittarius
35,Separated,16,11234,Excellent,No,3,2,Leo
40,Never married,12,17738,Good,No,4,-1,Libra
35,Never married,14,21285,Good,No,1,10,Scorpio
50,Divorced,17,13008,Excellent,Yes,1,8,Libra
49,Divorced,12,21285,Excellent,No,4,9,Taurus
40,Married,9,31928,Fair,Yes,5,1,Taurus
20,Separated,14,13008,Fair,No,3,33,Leo
44,Never married,12,13008,Good,No,4,-1,Taurus
40,Never married,13,946,Fair,No,5,-1,Aries
20,Never married,15,15373,Fair,No,2,6-11.9 months,Pisces
40,Married,14,11234,Good,Yes,1,1,Gemini
30,Married,15,10051,Fair,Yes,1,67,Pisces
42,Separated,14,17738,Excellent,No,3,14,Leo
20,Divorced,12,11234,Good,Yes,2,34,Capricorn
38,Divorced,16,26015,Good,Yes,2,14,Aquarius
52,Never married,16,5321,Excellent,No,1,6-11.9 months,Leo
50,Divorced,14,26015,Good,Yes,2,5,Aries
40,Divorced,16,15373,Good,No,2,2,Capricorn
73,Never married,15,5321,Excellent,No,2,6-11.9 months,Aries
53,Never married,14,17738,Excellent,No,1,6-11.9 months,Libra
50,Married,14,39023,Good,Yes,2,12,Gemini
50,Never married,16,47300,Fair,Yes,5,20,Aries
40,Married,11,11234,Excellent,Yes,6,1,Virgo
70,Married,20,39023,Good,No,0,5,Sagittarius
40,Never married,15,26015,Good,No,2,4,Capricorn
40,Married,18,17738,Good,No,6,3,Scorpio
40,Married,13,2129,Poor,Yes,1,6-11.9 months,Leo
48,Never married,14,21285,Good,Yes,5,5,Aries
50,Married,16,26015,Excellent,Yes,1,2,Pisces
10,Married,20,21285,Good,Yes,1,-1,Sagittarius
15,Married,14,237,Good,No,2,7,Aquarius
42,Married,12,7686,Good,Refused,4,2,Pisces
60,Married,9,26015,Fair,Yes,3,-1,Pisces
5,Married,12,4257,Excellent,Yes,6,9,Leo
32,Divorced,20,31928,Good,No,2,24,Virgo
52,Married,12,26015,Good,Yes,3,15,Pisces
15,Married,12,4257,Good,Yes,2,8,Sagittarius
40,Divorced,16,15373,Good,No,0,-1,Gemini
45,Married,13,17738,Excellent,Yes,3,3,Leo
28,Never married,16,11234,Fair,No,6,5,Scorpio
40,Never married,10,21285,Fair,No,1,-1,Libra
