Number of hours worked last week,Marital status,Highest year of school completed,Rs income in constant $,Condition of health,Have gun in home,Hours per day watching tv,Time at current job,Respondents astrological sign
50,Never married,15,1813,Excellent,No,0,Less than 6 months,Capricorn
40,Divorced,12,12303,Good,Yes,5,18,Leo
50,Never married,16,51800,Good,No,2,9,Capricorn
45,Never married,14,28490,Excellent,Yes,1,2,Leo
30,Married,11,5828,Excellent,No,6,13,Libra
40,Married,17,19425,Good,No,1,Less than 6 months,Aquarius
30,Never married,11,14245,Excellent,No,4,2,Cancer
40,Never married,13,16835,Excellent,No,2,8,Pisces
26,Widowed,20,23310,Excellent,Yes,2,11,Aquarius
32,Divorced,13,5828,Good,No,5,6-11.9 months,Sagittarius
40,Married,6,5828,Good,No,1,7,Taurus
40,Separated,13,8418,Fair,No,3,9,Taurus
45,Married,16,23310,Good,No,2,6-11.9 months,Leo
40,Married,16,34965,Good,No,1,4,Scorpio
56,Divorced,12,12303,Fair,No,2,10,Cancer
44,Married,15,19425,Good,Yes,0,2,Aries
65,Married,12,16835,Good,Yes,3,8,Capricorn
40,Married,12,5828,Fair,No,5,1,Aries
48,Never married,12,1813,Good,No,9,Less than 6 months,Aries
24,Never married,12,8418,Excellent,No,3,3,Leo
32,Married,18,42735,Good,No,2,4,Taurus
55,Never married,19,28490,Excellent,No,2,5,Aquarius
52,Married,12,28490,Good,Yes,2,24,Aquarius
40,Divorced,13,12303,Good,No,3,3,Libra
20,Married,18,34965,Good,Yes,1,24,Leo
10,Never married,13,1036,Excellent,No,1,3,Virgo
40,Married,12,23310,Good,No,5,1,Virgo
60,Never married,14,28490,Fair,No,4,9,Sagittarius
42,Married,12,16835,Good,No,1,2,Capricorn
22,Married,14,16835,Good,Yes,3,20,Aries
60,Married,12,28490,Excellent,No,1,15,Virgo
60,Never married,12,14245,Good,No,2,6,Aquarius
35,Married,12,259,Fair,No,3,7,Virgo
40,Married,12,3885,Excellent,No,3,Less than 6 months,Scorpio
40,Married,18,28490,Excellent,No,2,10,Virgo
40,Married,19,28490,Good,Yes,2,5,Gemini
13,Never married,14,1036,Excellent,No,0,6-11.9 months,Aries
30,Married,20,109525,Fair,Yes,2,10,Pisces
60,Married,13,23310,Excellent,No,1,6,Scorpio
50,Never married,20,34965,Good,No,1,6-11.9 months,Leo
15,Never married,15,1036,Good,No,2,3,Taurus
40,Divorced,12,12303,Good,No,3,18,Scorpio
60,Divorced,20,109525,Excellent,No,2,20,Virgo
45,Married,16,109525,Good,No,2,32,Libra
70,Divorced,20,34965,Good,Yes,2,3,Pisces
40,Married,16,42735,Fair,No,4,6-11.9 months,Scorpio
40,Married,17,42735,Excellent,No,2,8,Pisces
40,Divorced,16,34965,Excellent,No,1,26,Capricorn
20,Widowed,17,5828,Good,Yes,3,1,Gemini
40,Married,16,16835,Good,No,1,5,Leo
40,Married,16,23310,Good,No,1,3,Pisces
52,Married,15,28490,Good,No,4,8,Libra
40,Married,17,11008,Good,No,2,6,Virgo
40,Married,15,16835,Good,Yes,1,20,Capricorn
40,Married,17,28490,Good,No,2,Less than 6 months,Gemini
40,Never married,11,2331,Good,No,10,1,Pisces
40,Never married,13,1813,Good,No,2,6-11.9 months,Gemini
70,Divorced,12,34965,Fair,Yes,1,8,Gemini
30,Never married,10,7123,Fair,No,5,4,Virgo
40,Married,12,9713,Excellent,Yes,1,17,Capricorn
20,Never married,15,5828,Good,No,2,3,Aquarius
65,Never married,16,12303,Excellent,Yes,1,5,Virgo
34,Widowed,10,5828,Good,No,3,12,Aquarius
68,Never married,16,23310,Fair,No,1,2,Cancer
