Number of hours worked last week,Marital status,Highest year of school completed,Respondents income,Condition of health,Have gun in home,Hours per day watching tv,Time at current job,Respondents astrological sign
18,Never married,13,$15000 - 19999,Excellent,No,7,-1,Sagittarius
19,Never married,12,$3000 to 3999,Good,No,6,-1,Aquarius
40,Divorced,18,$25000 or more,Good,No,1,-1,Virgo
50,Divorced,18,$25000 or more,Good,No,2,-1,Leo
60,Married,15,$25000 or more,Excellent,No,2,-1,Taurus
89,Never married,16,$25000 or more,Excellent,No,1,-1,Cancer
60,Married,15,$25000 or more,Excellent,Yes,1,-1,Leo
40,Divorced,14,$25000 or more,Good,No,6,-1,Leo
35,Married,20,$20000 - 24999,Good,No,1,-1,Aquarius
52,Married,13,$25000 or more,Excellent,No,3,-1,Virgo
41,Never married,13,$25000 or more,Good,No,2,-1,Virgo
34,Widowed,12,$10000 - 14999,Good,No,7,-1,Leo
40,Married,20,$25000 or more,Good,No,0,-1,Leo
30,Never married,15,$3000 to 3999,Good,No,5,-1,Scorpio
4,Divorced,16,Lt $1000,Fair,No,8,-1,Pisces
40,Divorced,13,$25000 or more,Good,No,3,-1,Capricorn
20,Married,16,$20000 - 24999,Excellent,No,1,-1,Scorpio
42,Married,14,$25000 or more,Good,Yes,3,-1,Scorpio
35,Married,17,$20000 - 24999,Excellent,Yes,1,-1,Taurus
36,Never married,15,$25000 or more,Good,No,1,-1,Gemini
40,Married,15,$10000 - 14999,Good,Refused,2,-1,Libra
60,Divorced,11,$25000 or more,Good,Yes,5,-1,Aquarius
20,Never married,13,$25000 or more,Good,Yes,6,-1,Leo
37,Married,8,$15000 - 19999,Fair,No,1,-1,Virgo
39,Married,13,$25000 or more,Fair,No,2,-1,Cancer
40,Married,16,$25000 or more,Excellent,Yes,0,-1,Capricorn
38,Never married,14,$15000 - 19999,Good,No,3,-1,Aries
20,Never married,12,$7000 to 7999,Good,No,2,-1,Aries
60,Divorced,12,$25000 or more,Good,Yes,6,-1,Pisces
44,Never married,12,$10000 - 14999,Excellent,No,6,-1,Aries
40,Married,16,$25000 or more,Fair,Yes,4,-1,Taurus
16,Divorced,16,$20000 - 24999,Good,Yes,2,-1,Cancer
35,Married,12,$25000 or more,Good,No,2,-1,Gemini
70,Never married,12,$25000 or more,Excellent,No,1,-1,Aquarius
40,Married,12,$25000 or more,Excellent,No,4,-1,Aries
40,Never married,12,$25000 or more,Excellent,Yes,3,-1,Scorpio
40,Married,16,$25000 or more,Excellent,No,2,-1,Leo
20,Never married,13,$6000 to 6999,Good,No,1,-1,Libra
30,Never married,13,$20000 - 24999,Fair,No,2,-1,Libra
55,Married,12,$25000 or more,Fair,Yes,2,-1,Capricorn
40,Married,16,$25000 or more,Good,Yes,3,-1,Capricorn
49,Married,16,$25000 or more,Excellent,No,3,-1,Scorpio
40,Divorced,12,$20000 - 24999,Good,No,1,-1,Pisces
49,Married,13,$25000 or more,Good,Yes,4,-1,Pisces
40,Divorced,11,$6000 to 6999,Fair,No,3,-1,Aquarius
10,Married,12,$5000 to 5999,Fair,No,2,-1,Capricorn
50,Married,14,$20000 - 24999,Good,Yes,2,-1,Leo
40,Married,12,$25000 or more,Excellent,Yes,2,-1,Cancer
40,Never married,13,$25000 or more,Fair,No,4,-1,Taurus
40,Never married,12,$20000 - 24999,Fair,No,2,-1,Libra
50,Married,16,$25000 or more,Fair,Yes,3,-1,Libra
40,Married,12,$25000 or more,Excellent,No,3,-1,Aquarius
15,Never married,12,$3000 to 3999,Good,No,0,-1,Leo
55,Married,16,$25000 or more,Excellent,Yes,1,-1,Virgo
8,Widowed,12,$7000 to 7999,Fair,Yes,2,-1,Cancer
40,Married,12,$25000 or more,Good,Yes,2,-1,Aries
70,Never married,12,$25000 or more,Excellent,No,3,-1,Cancer
36,Divorced,16,$20000 - 24999,Good,No,1,-1,Taurus
25,Never married,13,$7000 to 7999,Excellent,No,2,-1,Cancer
40,Never married,13,$10000 - 14999,Good,No,3,-1,Sagittarius
50,Never married,16,$7000 to 7999,Excellent,No,2,-1,Pisces
52,Married,12,$25000 or more,Fair,Yes,2,-1,Libra
40,Divorced,13,$25000 or more,Excellent,Yes,1,-1,Sagittarius
4,Never married,14,$3000 to 3999,Good,Yes,0,-1,Aquarius
55,Divorced,17,$1000 to 2999,Good,Yes,1,-1,Virgo
52,Divorced,12,$25000 or more,Good,Yes,0,-1,Gemini
60,Married,14,$25000 or more,Good,Yes,1,-1,Aquarius
8,Married,14,$4000 to 4999,Fair,Yes,2,-1,Capricorn
24,Never married,12,$10000 - 14999,Excellent,No,2,-1,Leo
40,Never married,16,$25000 or more,Excellent,No,1,-1,Aquarius
17,Married,9,$10000 - 14999,Good,Yes,2,-1,Aquarius
40,Married,11,$20000 - 24999,Poor,Yes,5,-1,Virgo
20,Never married,12,$7000 to 7999,Excellent,Yes,1,-1,Sagittarius
60,Married,14,$20000 - 24999,Good,Yes,2,-1,Leo
32,Divorced,20,$25000 or more,Excellent,Yes,1,-1,Taurus
40,Married,15,$25000 or more,Good,No,1,-1,Aries
40,Never married,13,$25000 or more,Excellent,No,1,-1,Libra
43,Never married,11,$1000 to 2999,Excellent,No,3,-1,Capricorn
40,Divorced,12,$10000 - 14999,Good,Yes,6,-1,Taurus
50,Divorced,12,$20000 - 24999,Good,Yes,1,-1,Aquarius
40,Married,12,$20000 - 24999,Excellent,Yes,4,-1,Pisces
40,Married,12,$20000 - 24999,Excellent,No,2,-1,Aries
44,Divorced,14,$25000 or more,Good,Refused,3,-1,Aries
53,Never married,13,$25000 or more,Good,Yes,2,-1,Cancer
36,Never married,11,$10000 - 14999,Good,No,2,-1,Pisces
40,Never married,12,$7000 to 7999,Excellent,No,5,-1,Libra
45,Married,12,$25000 or more,Excellent,Yes,3,-1,Pisces
68,Married,12,$25000 or more,Good,Yes,1,-1,Capricorn
40,Never married,16,$25000 or more,Good,No,3,-1,Libra
50,Married,16,$25000 or more,Good,No,3,-1,Virgo
50,Never married,11,$5000 to 5999,Fair,Yes,6,-1,Cancer
40,Never married,17,$25000 or more,Good,No,3,-1,Aries
40,Never married,15,$25000 or more,Fair,Yes,5,-1,Cancer
48,Divorced,17,$25000 or more,Excellent,Yes,2,-1,Pisces
55,Divorced,12,$25000 or more,Good,No,3,-1,Scorpio
40,Never married,12,$25000 or more,Fair,No,4,-1,Capricorn
55,Married,12,$25000 or more,Good,No,3,-1,Cancer
40,Never married,19,$25000 or more,Good,Yes,4,-1,Leo
44,Never married,12,$10000 - 14999,Excellent,Yes,0,-1,Virgo
40,Married,12,$3000 to 3999,Good,No,2,-1,Cancer
44,Never married,12,$25000 or more,Good,No,3,-1,Pisces
40,Married,12,$20000 - 24999,Excellent,No,10,-1,Gemini
50,Divorced,16,$10000 - 14999,Good,No,3,-1,Scorpio
19,Never married,12,$1000 to 2999,Excellent,Yes,3,-1,Taurus
50,Married,14,$25000 or more,Fair,Yes,1,-1,Gemini
30,Separated,12,$10000 - 14999,Excellent,Yes,2,-1,Capricorn
50,Married,20,$25000 or more,Excellent,No,1,-1,Aries
46,Divorced,12,$25000 or more,Good,Yes,1,-1,Virgo
44,Married,12,$25000 or more,Fair,Yes,5,-1,Aries
40,Married,12,$25000 or more,Excellent,Yes,2,-1,Cancer
37,Married,14,$25000 or more,Good,Yes,1,-1,Pisces
35,Divorced,15,$25000 or more,Good,Yes,0,-1,Scorpio
55,Married,16,$25000 or more,Excellent,No,2,-1,Sagittarius
46,Married,13,$25000 or more,Good,Yes,3,-1,Scorpio
40,Married,16,$25000 or more,Good,Yes,1,-1,Libra
40,Married,12,$25000 or more,Good,No,4,-1,Pisces
65,Never married,12,$15000 - 19999,Good,No,2,-1,Virgo
20,Never married,12,$10000 - 14999,Good,No,3,-1,Gemini
55,Married,16,$25000 or more,Fair,Yes,1,-1,Virgo
80,Married,17,$25000 or more,Good,Yes,2,-1,Sagittarius
40,Married,12,$6000 to 6999,Excellent,No,2,-1,Taurus
46,Married,12,$20000 - 24999,Good,Yes,5,-1,Pisces
40,Married,14,$20000 - 24999,Excellent,No,2,-1,Taurus
40,Divorced,13,$25000 or more,Excellent,Yes,3,-1,Libra
40,Married,19,$25000 or more,Fair,Yes,1,-1,Aquarius
40,Divorced,12,$25000 or more,Excellent,Refused,1,-1,Aquarius
80,Never married,17,$25000 or more,Excellent,No,2,-1,Libra
47,Never married,11,$25000 or more,Excellent,Yes,3,-1,Sagittarius
40,Married,14,$25000 or more,Fair,Yes,4,-1,Gemini
55,Married,20,$25000 or more,Good,Yes,0,-1,Scorpio
40,Never married,12,$20000 - 24999,Good,Yes,5,-1,Scorpio
80,Divorced,18,$25000 or more,Good,No,0,-1,Sagittarius
40,Divorced,14,$25000 or more,Good,Yes,0,-1,Libra
40,Never married,14,$25000 or more,Fair,No,1,-1,Cancer
60,Never married,17,$25000 or more,Excellent,Yes,2,-1,Scorpio
40,Never married,15,$25000 or more,Fair,No,3,-1,Gemini
40,Married,12,$25000 or more,Good,No,1,-1,Virgo
30,Married,13,$10000 - 14999,Fair,No,0,-1,Virgo
60,Married,17,$20000 - 24999,Good,No,0,-1,Virgo
70,Divorced,13,$15000 - 19999,Good,Yes,1,-1,Aries
80,Divorced,12,$25000 or more,Excellent,No,2,-1,Capricorn
45,Never married,14,$25000 or more,Good,No,1,-1,Sagittarius
40,Married,17,$1000 to 2999,Fair,Yes,2,-1,Aquarius
24,Never married,18,$10000 - 14999,Good,Yes,3,-1,Capricorn
20,Separated,19,$1000 to 2999,Excellent,No,2,-1,Capricorn
1,Married,19,$25000 or more,Good,No,3,-1,Pisces
28,Separated,11,$4000 to 4999,Fair,No,3,-1,Virgo
40,Married,18,$25000 or more,Excellent,Yes,1,-1,Aries
40,Divorced,14,$25000 or more,Excellent,No,6,-1,Sagittarius
35,Married,17,$15000 - 19999,Good,No,3,-1,Cancer
19,Married,18,$20000 - 24999,Good,No,2,-1,Scorpio
40,Married,12,$25000 or more,Good,Yes,2,-1,Gemini
34,Divorced,12,$10000 - 14999,Excellent,No,10,-1,Pisces
30,Never married,11,$10000 - 14999,Fair,No,2,-1,Libra
50,Married,14,$25000 or more,Good,No,1,-1,Libra
48,Married,2,$25000 or more,Excellent,Yes,1,-1,Leo
30,Never married,13,$8000 to 9999,Excellent,No,4,-1,Libra
43,Never married,17,$20000 - 24999,Good,No,2,-1,Aquarius
40,Married,14,$25000 or more,Good,Yes,2,-1,Libra
50,Married,15,$25000 or more,Good,Yes,3,-1,Libra
89,Married,13,$20000 - 24999,Excellent,No,8,-1,Virgo
89,Married,12,$25000 or more,Good,Yes,1,-1,Capricorn
70,Married,20,$25000 or more,Excellent,No,1,-1,Taurus
24,Married,18,$15000 - 19999,Excellent,No,3,-1,Gemini
32,Married,14,$25000 or more,Good,No,1,-1,Sagittarius
40,Never married,13,$25000 or more,Poor,No,2,-1,Cancer
80,Married,12,$25000 or more,Excellent,Yes,3,-1,Taurus
30,Married,12,$10000 - 14999,Good,Yes,3,-1,Leo
45,Divorced,13,$25000 or more,Poor,Yes,2,-1,Gemini
70,Married,12,$25000 or more,Excellent,Yes,1,-1,Pisces
44,Never married,14,$20000 - 24999,Good,No,4,-1,Capricorn
31,Married,12,$15000 - 19999,Fair,Yes,4,-1,Virgo
40,Divorced,13,$20000 - 24999,Fair,No,3,-1,Gemini
40,Married,6,$15000 - 19999,Fair,No,10,-1,Pisces
30,Married,14,$25000 or more,Good,Yes,4,-1,Gemini
60,Divorced,14,$25000 or more,Good,Yes,3,-1,Aries
60,Married,16,$25000 or more,Excellent,No,0,-1,Sagittarius
72,Married,12,$3000 to 3999,Excellent,Yes,3,-1,Virgo
40,Married,16,$25000 or more,Good,No,4,-1,Libra
45,Never married,17,$25000 or more,Excellent,Yes,2,-1,Leo
48,Divorced,16,$25000 or more,Good,No,0,-1,Gemini
40,Widowed,13,$25000 or more,Excellent,Yes,1,-1,Pisces
40,Never married,17,$25000 or more,Excellent,No,4,-1,Scorpio
60,Married,12,$25000 or more,Excellent,Yes,1,-1,Leo
20,Divorced,12,$10000 - 14999,Excellent,No,3,-1,Pisces
50,Married,12,$25000 or more,Excellent,Yes,1,-1,Scorpio
8,Never married,12,$8000 to 9999,Good,Yes,2,-1,Scorpio
40,Married,12,$25000 or more,Good,Yes,3,-1,Libra
45,Married,17,$25000 or more,Excellent,Yes,1,-1,Scorpio
60,Married,20,$25000 or more,Excellent,No,6,-1,Pisces
60,Never married,17,$20000 - 24999,Good,Yes,3,-1,Aquarius
40,Never married,19,$25000 or more,Good,Yes,3,-1,Aquarius
20,Married,11,$10000 - 14999,Excellent,No,10,-1,Scorpio
40,Never married,15,$20000 - 24999,Good,No,3,-1,Libra
48,Married,12,$1000 to 2999,Good,Yes,2,-1,Libra
34,Married,4,$3000 to 3999,Excellent,No,1,-1,Aquarius
40,Separated,12,$15000 - 19999,Excellent,No,3,-1,Leo
40,Married,12,$10000 - 14999,Good,Refused,4,-1,Cancer
40,Divorced,12,$25000 or more,Good,Yes,2,-1,Aquarius
50,Married,12,$25000 or more,Good,Yes,2,-1,Libra
40,Married,16,$20000 - 24999,Good,No,0,-1,Sagittarius
60,Married,19,$25000 or more,Excellent,No,2,-1,Scorpio
25,Widowed,14,$6000 to 6999,Good,Yes,2,-1,Taurus
40,Married,13,$25000 or more,Good,Yes,4,-1,Virgo
60,Married,17,$25000 or more,Excellent,No,1,-1,Scorpio
37,Married,11,$20000 - 24999,Good,No,2,10,Leo
38,Divorced,14,$20000 - 24999,Excellent,No,1,3,Virgo
40,Separated,13,$20000 - 24999,Good,No,2,3,Taurus
40,Divorced,16,$25000 or more,Good,No,3,39,Gemini
40,Never married,11,$8000 to 9999,Good,No,4,-1,Sagittarius
45,Never married,15,$25000 or more,Excellent,No,3,6,Taurus
40,Married,11,$25000 or more,Excellent,No,1,33,Gemini
40,Married,15,$25000 or more,Good,No,2,9,Libra
40,Married,14,$25000 or more,Excellent,No,4,4,Sagittarius
40,Married,18,$25000 or more,Good,No,1,-1,Gemini
16,Never married,17,$1000 to 2999,Excellent,No,1,6-11.9 months,Pisces
55,Married,20,$25000 or more,Good,No,0,-1,Pisces
65,Never married,12,$25000 or more,Good,No,6,4,Libra
40,Never married,16,$25000 or more,Excellent,No,3,2,Leo
40,Married,20,$25000 or more,Excellent,No,1,14,Aquarius
40,Never married,16,$25000 or more,Excellent,No,4,9,Gemini
57,Never married,20,$25000 or more,Excellent,No,1,-1,Libra
30,Married,20,$25000 or more,Good,Yes,3,30,Gemini
40,Married,20,$25000 or more,Good,No,2,-1,Taurus
40,Never married,13,$6000 to 6999,Excellent,No,2,Less than 6 months,Cancer
60,Married,14,$25000 or more,Fair,Yes,1,27,Scorpio
25,Never married,16,$25000 or more,Good,No,2,-1,Pisces
40,Divorced,16,$10000 - 14999,Fair,No,2,4,Aries
48,Never married,12,$3000 to 3999,Fair,No,7,Less than 6 months,Taurus
40,Divorced,16,$25000 or more,Poor,Refused,4,-1,Libra
45,Married,16,$25000 or more,Good,No,1,Less than 6 months,Taurus
32,Separated,11,$25000 or more,Good,No,2,6,Gemini
28,Married,3,$8000 to 9999,Fair,No,3,8,Sagittarius
40,Separated,14,$25000 or more,Good,No,1,1,Libra
37,Married,16,$15000 - 19999,Excellent,No,2,6,Scorpio
40,Married,17,$25000 or more,Good,No,1,-1,Cancer
40,Never married,16,$15000 - 19999,Excellent,No,1,-1,Aquarius
48,Married,16,$25000 or more,Good,No,3,45,Aquarius
40,Never married,12,$25000 or more,Fair,No,3,27,Taurus
20,Never married,14,$15000 - 19999,Good,No,1,6,Aries
50,Married,19,$25000 or more,Good,No,1,11,Virgo
12,Married,15,$1000 to 2999,Good,Yes,1,-1,Libra
20,Married,12,$4000 to 4999,Fair,Yes,4,22,Libra
40,Divorced,16,$25000 or more,Fair,No,4,23,Aquarius
40,Divorced,19,$25000 or more,Excellent,No,1,13,Gemini
51,Married,15,$25000 or more,Good,No,0,16,Scorpio
40,Married,17,$25000 or more,Good,No,2,9,Aquarius
38,Married,13,$20000 - 24999,Good,No,1,2,Pisces
50,Married,18,$25000 or more,Good,No,3,Less than 6 months,Scorpio
48,Never married,11,$5000 to 5999,Excellent,No,6,6-11.9 months,Capricorn
50,Divorced,12,$25000 or more,Good,Yes,0,6-11.9 months,Aries
60,Married,16,$25000 or more,Excellent,Yes,1,Less than 6 months,Gemini
50,Married,16,$25000 or more,Excellent,Yes,1,2,Sagittarius
50,Married,12,$25000 or more,Good,Refused,0,-1,Leo
50,Married,13,$25000 or more,Good,No,1,27,Virgo
40,Married,18,$25000 or more,Excellent,No,1,4,Cancer
24,Married,20,$25000 or more,Fair,No,2,2,Pisces
80,Married,12,$25000 or more,Good,No,1,6-11.9 months,Libra
40,Never married,14,$25000 or more,Good,No,2,2,Leo
50,Married,16,$25000 or more,Excellent,No,1,2,Aries
37,Never married,13,$20000 - 24999,Excellent,No,5,99,Capricorn
45,Married,17,$25000 or more,Excellent,No,2,4,Cancer
40,Widowed,13,$25000 or more,Good,Yes,3,10,Capricorn
40,Married,20,$25000 or more,Good,No,2,6-11.9 months,Virgo
66,Married,11,$25000 or more,Good,Yes,1,17,Taurus
10,Never married,16,Lt $1000,Excellent,No,2,6-11.9 months,Scorpio
45,Married,20,$3000 to 3999,Excellent,No,0,-1,Virgo
40,Never married,12,$25000 or more,Fair,Yes,1,-1,Capricorn
60,Married,17,$25000 or more,Excellent,No,1,32,Gemini
45,Married,20,$20000 - 24999,Good,No,3,-1,Libra
50,Married,16,$25000 or more,Good,No,2,3,Gemini
40,Married,18,$15000 - 19999,Good,No,2,-1,Scorpio
40,Married,12,$10000 - 14999,Good,No,3,-1,Aries
42,Never married,16,$25000 or more,Good,No,4,3,Gemini
47,Never married,17,$25000 or more,Excellent,No,2,2,Leo
40,Married,16,$25000 or more,Good,No,2,17,Pisces
40,Married,13,$25000 or more,Good,Yes,5,12,Aquarius
62,Never married,12,$25000 or more,Good,No,3,-1,Virgo
40,Married,13,$25000 or more,Fair,No,3,10,Taurus
56,Divorced,16,$25000 or more,Excellent,No,0,15,Capricorn
37,Never married,16,$25000 or more,Good,No,2,-1,Gemini
40,Never married,17,$25000 or more,Fair,No,1,1,Aquarius
16,Married,12,Lt $1000,Good,No,5,Less than 6 months,Capricorn
40,Never married,16,$25000 or more,Excellent,Yes,1,6-11.9 months,Sagittarius
30,Married,15,$10000 - 14999,Good,No,2,10,Leo
32,Married,16,$25000 or more,Good,Yes,2,26,Sagittarius
40,Married,12,$25000 or more,Good,Yes,3,34,Aries
50,Married,16,$25000 or more,Excellent,Yes,1,5,Virgo
20,Divorced,14,$15000 - 19999,Excellent,Yes,6,-1,Cancer
18,Separated,13,$6000 to 6999,Excellent,No,7,1,Virgo
50,Married,16,$25000 or more,Good,Yes,2,-1,Pisces
50,Married,16,$25000 or more,Excellent,Yes,1,20,Pisces
40,Divorced,15,$15000 - 19999,Good,No,5,9,Aries
40,Married,20,$25000 or more,Fair,Yes,3,4,Scorpio
40,Married,16,$25000 or more,Excellent,No,5,2,Libra
40,Married,16,$25000 or more,Excellent,No,1,2,Libra
65,Married,14,$25000 or more,Excellent,No,3,10,Scorpio
44,Never married,13,$10000 - 14999,Good,No,5,-1,Leo
50,Never married,16,$25000 or more,Excellent,Yes,2,-1,Leo
50,Married,18,$25000 or more,Fair,Yes,3,3,Sagittarius
42,Married,9,$25000 or more,Good,No,2,8,Pisces
40,Divorced,12,$25000 or more,Good,No,2,5,Scorpio
50,Never married,16,$25000 or more,Fair,No,4,9,Sagittarius
60,Divorced,14,$25000 or more,Good,Yes,1,15,Sagittarius
40,Widowed,12,$25000 or more,Good,Yes,2,-1,Scorpio
35,Married,15,$1000 to 2999,Good,Yes,3,Less than 6 months,Pisces
40,Married,16,$25000 or more,Good,No,3,15,Aries
21,Never married,12,$8000 to 9999,Excellent,No,24,2,Aquarius
35,Never married,12,$10000 - 14999,Good,No,3,1,Aries
36,Never married,15,$20000 - 24999,Good,Yes,1,Less than 6 months,Scorpio
40,Never married,12,$25000 or more,Excellent,No,1,5,Capricorn
35,Married,18,$25000 or more,Good,No,3,15,Pisces
40,Separated,14,$25000 or more,Good,No,2,13,Capricorn
48,Married,20,$25000 or more,Excellent,Refused,3,4,Libra
40,Married,11,$15000 - 19999,Good,No,1,5,Libra
56,Married,14,$25000 or more,Excellent,Yes,4,19,Virgo
40,Separated,12,$10000 - 14999,Good,No,2,7,Virgo
40,Married,12,$25000 or more,Excellent,No,2,7,Aries
8,Widowed,16,$10000 - 14999,Good,No,5,2,Sagittarius
60,Never married,13,$4000 to 4999,Excellent,No,3,2,Sagittarius
75,Never married,20,$25000 or more,Excellent,No,0,1,Virgo
43,Separated,13,$25000 or more,Fair,Yes,5,-1,Gemini
48,Married,12,$25000 or more,Good,No,1,20,Scorpio
60,Married,19,$25000 or more,Good,No,1,-1,Aries
50,Married,19,$25000 or more,Good,No,2,-1,Gemini
85,Never married,8,$25000 or more,Excellent,No,1,3,Aries
39,Never married,12,$1000 to 2999,Excellent,No,0,6-11.9 months,Gemini
40,Married,12,$10000 - 14999,Good,No,4,1,Leo
37,Never married,12,$25000 or more,Good,No,3,14,Libra
25,Separated,8,$10000 - 14999,Fair,No,2,3,Leo
40,Married,16,$25000 or more,Good,No,2,9,Scorpio
36,Never married,13,$20000 - 24999,Good,No,5,3,Leo
40,Never married,14,$25000 or more,Excellent,No,2,6-11.9 months,Leo
40,Divorced,19,$25000 or more,Good,Yes,4,43,Aries
40,Married,18,$25000 or more,Good,No,1,-1,Aquarius
20,Married,14,$20000 - 24999,Excellent,No,4,Less than 6 months,Cancer
30,Married,15,$5000 to 5999,Good,No,4,6-11.9 months,Taurus
40,Married,19,$20000 - 24999,Excellent,No,0,2,Pisces
40,Married,15,$25000 or more,Fair,No,2,2,Taurus
45,Never married,16,$25000 or more,Good,No,0,-1,Aries
30,Married,20,$25000 or more,Excellent,Yes,1,-1,Gemini
40,Never married,16,$25000 or more,Good,No,2,5,Gemini
40,Divorced,13,$25000 or more,Good,Yes,4,3,Aries
40,Divorced,13,$20000 - 24999,Excellent,No,0,10,Leo
40,Never married,12,$5000 to 5999,Good,No,0,6-11.9 months,Libra
40,Married,16,$25000 or more,Excellent,Yes,3,27,Pisces
45,Never married,14,$25000 or more,Good,No,2,-1,Scorpio
45,Married,16,$25000 or more,Excellent,No,2,6-11.9 months,Aries
89,Divorced,14,$25000 or more,Good,Yes,0,7,Pisces
65,Divorced,16,$25000 or more,Fair,No,4,23,Libra
50,Married,12,$15000 - 19999,Good,No,2,-1,Virgo
1,Married,16,$7000 to 7999,Excellent,Yes,2,18,Virgo
50,Married,16,$25000 or more,Excellent,Yes,1,20,Aquarius
2,Married,15,$25000 or more,Fair,No,1,17,Sagittarius
20,Married,14,$25000 or more,Good,Yes,1,4,Pisces
40,Married,12,$25000 or more,Excellent,Yes,0,-1,Sagittarius
30,Never married,14,$25000 or more,Good,Yes,3,1,Sagittarius
46,Never married,13,$25000 or more,Good,No,4,9,Virgo
57,Never married,13,$25000 or more,Good,No,0,10,Sagittarius
80,Never married,13,$20000 - 24999,Good,No,5,2,Sagittarius
43,Never married,12,$20000 - 24999,Good,No,5,-1,Aries
44,Divorced,11,$25000 or more,Good,No,4,6,Scorpio
40,Married,13,$25000 or more,Good,No,2,8,Leo
48,Never married,11,$25000 or more,Fair,No,3,10,Libra
60,Married,18,$25000 or more,Fair,No,2,1,Capricorn
40,Divorced,12,$25000 or more,Excellent,Yes,0,2,Virgo
42,Never married,17,$25000 or more,Excellent,No,3,2,Aries
40,Married,6,$10000 - 14999,Good,No,3,6-11.9 months,Libra
80,Divorced,14,$10000 - 14999,Good,No,5,Less than 6 months,Libra
32,Divorced,16,$25000 or more,Excellent,No,2,11,Scorpio
45,Married,14,$25000 or more,Good,No,2,29,Leo
55,Married,16,$25000 or more,Excellent,Yes,6,10,Libra
40,Married,14,$20000 - 24999,Good,No,1,5,Aquarius
40,Divorced,14,$25000 or more,Good,No,2,-1,Gemini
47,Divorced,18,$25000 or more,Good,Yes,2,4,Leo
60,Never married,16,$25000 or more,Excellent,No,2,-1,Pisces
40,Married,15,$20000 - 24999,Poor,Yes,4,-1,Taurus
46,Never married,13,$25000 or more,Fair,No,1,1,Aquarius
42,Married,12,$25000 or more,Excellent,No,4,-1,Libra
36,Married,16,$25000 or more,Good,Yes,3,1,Capricorn
30,Never married,14,$25000 or more,Good,Yes,3,-1,Cancer
60,Never married,16,$25000 or more,Fair,No,1,5,Scorpio
20,Divorced,12,$15000 - 19999,Good,Yes,1,16,Aries
50,Married,10,$15000 - 19999,Poor,No,6,-1,Cancer
40,Married,18,$25000 or more,Excellent,No,2,6-11.9 months,Leo
56,Married,12,$25000 or more,Good,Yes,2,16,Aries
16,Married,14,$15000 - 19999,Good,No,3,-1,Sagittarius
40,Divorced,14,$25000 or more,Good,Yes,0,15,Cancer
40,Divorced,14,$25000 or more,Good,Yes,4,8,Cancer
40,Married,12,$25000 or more,Fair,Yes,2,42,Virgo
60,Divorced,16,$25000 or more,Excellent,No,1,8,Taurus
54,Married,15,$25000 or more,Good,No,1,17,Scorpio
35,Married,20,$25000 or more,Good,Yes,2,2,Libra
40,Separated,3,$25000 or more,Good,No,0,6,Sagittarius
38,Divorced,12,$20000 - 24999,Fair,No,2,9,Scorpio
30,Never married,15,$10000 - 14999,Excellent,No,1,7,Aquarius
8,Married,16,$10000 - 14999,Excellent,Yes,2,14,Gemini
40,Divorced,12,$25000 or more,Fair,No,4,3,Leo
40,Divorced,15,$25000 or more,Good,No,3,6-11.9 months,Taurus
30,Widowed,10,$25000 or more,Good,No,8,8,Pisces
28,Married,12,$25000 or more,Good,Refused,2,16,Leo
40,Married,12,$20000 - 24999,Fair,No,3,3,Cancer
40,Separated,12,$10000 - 14999,Excellent,No,3,1,Leo
89,Married,14,$25000 or more,Fair,Yes,2,-1,Leo
50,Married,20,$25000 or more,Good,Yes,1,3,Virgo
45,Never married,17,$25000 or more,Excellent,No,0,1,Aquarius
40,Never married,14,$25000 or more,Excellent,Yes,2,2,Leo
55,Never married,16,$25000 or more,Excellent,No,3,-1,Gemini
60,Married,12,$25000 or more,Good,Yes,1,14,Virgo
40,Never married,18,$15000 - 19999,Good,No,0,-1,Aquarius
60,Married,16,$25000 or more,Fair,No,1,-1,Pisces
45,Married,14,$25000 or more,Excellent,Yes,1,12,Scorpio
40,Married,16,$25000 or more,Good,No,1,7,Pisces
40,Married,16,$25000 or more,Good,No,1,6-11.9 months,Taurus
20,Never married,16,$15000 - 19999,Fair,No,0,3,Leo
25,Divorced,15,$25000 or more,Excellent,No,1,-1,Cancer
35,Widowed,10,$25000 or more,Good,No,2,22,Cancer
30,Married,18,$10000 - 14999,Good,No,1,-1,Aries
30,Never married,10,$10000 - 14999,Fair,No,2,4,Capricorn
32,Never married,16,$15000 - 19999,Excellent,No,1,6-11.9 months,Libra
39,Never married,16,$25000 or more,Good,No,4,8,Libra
50,Married,19,$25000 or more,Good,No,1,30,Cancer
65,Never married,13,$20000 - 24999,Good,Yes,2,11,Scorpio
48,Married,14,$25000 or more,Excellent,Yes,2,13,Libra
70,Widowed,12,$20000 - 24999,Good,No,2,15,Cancer
40,Married,12,$25000 or more,Good,Yes,2,-1,Gemini
50,Married,12,$15000 - 19999,Good,Yes,1,12,Cancer
45,Divorced,14,$25000 or more,Fair,Yes,4,1,Taurus
40,Never married,16,$10000 - 14999,Excellent,No,0,-1,Libra
60,Married,9,$25000 or more,Good,Yes,2,40,Aries
60,Married,16,$25000 or more,Excellent,Yes,0,-1,Taurus
30,Married,12,$3000 to 3999,Fair,No,2,7,Virgo
40,Married,16,$25000 or more,Good,Yes,2,-1,Pisces
39,Never married,12,$5000 to 5999,Excellent,No,0,3,Libra
