Number of hours worked last week,Marital status,Highest year of school completed,Respondents income,Condition of health,Have gun in home,Hours per day watching tv,Time at current job,Respondents astrological sign
64,Never married,12,$25000 or more,Good,No,3,10,Leo
64,Married,12,$15000 - 19999,Good,Yes,1,3,Taurus
28,Married,11,$20000 - 24999,Fair,Yes,4,6-11.9 months,Aquarius
37,Divorced,16,$25000 or more,Good,No,0,6-11.9 months,Taurus
50,Married,16,$25000 or more,Good,No,3,7,Taurus
44,Married,10,$25000 or more,Fair,Yes,2,6-11.9 months,Leo
22,Never married,14,$5000 to 5999,Good,No,4,2,Capricorn
40,Married,12,$25000 or more,Good,Yes,2,11,Scorpio
89,Married,14,$20000 - 24999,Fair,No,2,6-11.9 months,Pisces
40,Never married,20,$15000 - 19999,Good,No,4,2,Gemini
60,Divorced,19,$25000 or more,Excellent,No,0,3,Gemini
38,Never married,15,$7000 to 7999,Good,No,2,7,Leo
50,Never married,16,$25000 or more,Excellent,Yes,2,7,Aries
50,Married,20,$25000 or more,Good,No,1,10,Taurus
40,Never married,13,$10000 - 14999,Good,Refused,3,6-11.9 months,Libra
55,Never married,16,$25000 or more,Good,No,2,1,Leo
50,Never married,15,$3000 to 3999,Excellent,No,0,Less than 6 months,Capricorn
40,Divorced,12,$20000 - 24999,Good,Yes,5,18,Leo
50,Never married,16,$25000 or more,Good,No,2,9,Capricorn
45,Never married,14,$25000 or more,Excellent,Yes,1,2,Leo
30,Married,11,$10000 - 14999,Excellent,No,6,13,Libra
40,Married,17,$25000 or more,Good,No,1,Less than 6 months,Aquarius
30,Never married,11,$25000 or more,Excellent,No,4,2,Cancer
40,Never married,13,$25000 or more,Excellent,No,2,8,Pisces
26,Widowed,20,$25000 or more,Excellent,Yes,2,11,Aquarius
32,Divorced,13,$10000 - 14999,Good,No,5,6-11.9 months,Sagittarius
40,Married,6,$10000 - 14999,Good,No,1,7,Taurus
40,Separated,13,$15000 - 19999,Fair,No,3,9,Taurus
45,Married,16,$25000 or more,Good,No,2,6-11.9 months,Leo
40,Married,16,$25000 or more,Good,No,1,4,Scorpio
56,Divorced,12,$20000 - 24999,Fair,No,2,10,Cancer
44,Married,15,$25000 or more,Good,Yes,0,2,Aries
65,Married,12,$25000 or more,Good,Yes,3,8,Capricorn
40,Married,12,$10000 - 14999,Fair,No,5,1,Aries
48,Never married,12,$3000 to 3999,Good,No,9,Less than 6 months,Aries
24,Never married,12,$15000 - 19999,Excellent,No,3,3,Leo
32,Married,18,$25000 or more,Good,No,2,4,Taurus
55,Never married,19,$25000 or more,Excellent,No,2,5,Aquarius
52,Married,12,$25000 or more,Good,Yes,2,24,Aquarius
40,Divorced,13,$20000 - 24999,Good,No,3,3,Libra
20,Married,18,$25000 or more,Good,Yes,1,24,Leo
10,Never married,13,$1000 to 2999,Excellent,No,1,3,Virgo
40,Married,12,$25000 or more,Good,No,5,1,Virgo
60,Never married,14,$25000 or more,Fair,No,4,9,Sagittarius
42,Married,12,$25000 or more,Good,No,1,2,Capricorn
22,Married,14,$25000 or more,Good,Yes,3,20,Aries
60,Married,12,$25000 or more,Excellent,No,1,15,Virgo
60,Never married,12,$25000 or more,Good,No,2,6,Aquarius
35,Married,12,Lt $1000,Fair,No,3,7,Virgo
40,Married,12,$7000 to 7999,Excellent,No,3,Less than 6 months,Scorpio
40,Married,18,$25000 or more,Excellent,No,2,10,Virgo
40,Married,19,$25000 or more,Good,Yes,2,5,Gemini
13,Never married,14,$1000 to 2999,Excellent,No,0,6-11.9 months,Aries
30,Married,20,$25000 or more,Fair,Yes,2,10,Pisces
60,Married,13,$25000 or more,Excellent,No,1,6,Scorpio
50,Never married,20,$25000 or more,Good,No,1,6-11.9 months,Leo
15,Never married,15,$1000 to 2999,Good,No,2,3,Taurus
40,Divorced,12,$20000 - 24999,Good,No,3,18,Scorpio
60,Divorced,20,$25000 or more,Excellent,No,2,20,Virgo
45,Married,16,$25000 or more,Good,No,2,32,Libra
70,Divorced,20,$25000 or more,Good,Yes,2,3,Pisces
40,Married,16,$25000 or more,Fair,No,4,6-11.9 months,Scorpio
40,Married,17,$25000 or more,Excellent,No,2,8,Pisces
40,Divorced,16,$25000 or more,Excellent,No,1,26,Capricorn
20,Widowed,17,$10000 - 14999,Good,Yes,3,1,Gemini
40,Married,16,$25000 or more,Good,No,1,5,Leo
40,Married,16,$25000 or more,Good,No,1,3,Pisces
52,Married,15,$25000 or more,Good,No,4,8,Libra
40,Married,17,$20000 - 24999,Good,No,2,6,Virgo
40,Married,15,$25000 or more,Good,Yes,1,20,Capricorn
40,Married,17,$25000 or more,Good,No,2,Less than 6 months,Gemini
40,Never married,11,$4000 to 4999,Good,No,10,1,Pisces
40,Never married,13,$3000 to 3999,Good,No,2,6-11.9 months,Gemini
70,Divorced,12,$25000 or more,Fair,Yes,1,8,Gemini
30,Never married,10,$10000 - 14999,Fair,No,5,4,Virgo
40,Married,12,$15000 - 19999,Excellent,Yes,1,17,Capricorn
20,Never married,15,$10000 - 14999,Good,No,2,3,Aquarius
65,Never married,16,$20000 - 24999,Excellent,Yes,1,5,Virgo
34,Widowed,10,$10000 - 14999,Good,No,3,12,Aquarius
68,Never married,16,$25000 or more,Fair,No,1,2,Cancer
40,Divorced,9,$15000 - 19999,Excellent,No,5,3,Capricorn
40,Married,13,$25000 or more,Good,Yes,3,2,Libra
42,Never married,14,$25000 or more,Fair,No,4,5,Pisces
40,Married,20,$25000 or more,Good,No,4,9,Gemini
50,Married,16,$25000 or more,Good,Yes,2,6-11.9 months,Gemini
40,Married,16,$25000 or more,Excellent,Refused,2,6,Gemini
50,Married,18,$25000 or more,Excellent,No,1,6-11.9 months,Cancer
45,Married,16,$25000 or more,Good,No,3,15,Virgo
50,Married,16,$25000 or more,Excellent,No,1,19,Libra
30,Married,12,$10000 - 14999,Good,No,4,2,Capricorn
37,Married,14,$20000 - 24999,Good,Refused,3,14,Aries
30,Never married,12,$8000 to 9999,Poor,No,4,3,Taurus
20,Never married,14,$10000 - 14999,Excellent,No,4,5,Libra
50,Married,16,$25000 or more,Good,Yes,2,4,Leo
40,Married,16,$25000 or more,Good,Yes,3,Less than 6 months,Virgo
37,Divorced,14,$25000 or more,Good,No,3,1,Libra
52,Never married,15,$25000 or more,Good,No,3,6,Libra
40,Divorced,10,$15000 - 19999,Fair,No,5,1,Gemini
70,Never married,18,$25000 or more,Fair,No,2,4,Gemini
45,Married,16,$3000 to 3999,Excellent,No,1,Less than 6 months,Virgo
55,Never married,19,$25000 or more,Good,No,2,7,Cancer
16,Never married,16,$15000 - 19999,Excellent,No,2,3,Cancer
50,Divorced,13,$25000 or more,Good,Yes,3,99,Pisces
60,Married,13,$25000 or more,Good,Yes,4,14,Libra
8,Married,18,$1000 to 2999,Good,Yes,3,4,Libra
1,Married,14,$25000 or more,Excellent,Yes,1,12,Cancer
40,Married,18,$25000 or more,Excellent,No,1,3,Libra
42,Never married,14,$25000 or more,Good,Yes,2,4,Aries
40,Divorced,18,$25000 or more,Excellent,No,1,3,Virgo
40,Married,18,$25000 or more,Excellent,Yes,2,4,Cancer
36,Never married,9,Lt $1000,Fair,No,2,6-11.9 months,Libra
27,Widowed,11,$15000 - 19999,Good,No,2,3,Aries
56,Divorced,15,$25000 or more,Good,No,1,4,Capricorn
30,Married,6,$8000 to 9999,Fair,No,1,7,Cancer
38,Married,12,$15000 - 19999,Good,No,4,20,Virgo
40,Married,12,$25000 or more,Fair,Refused,3,15,Capricorn
50,Never married,13,$25000 or more,Fair,No,6,17,Aries
28,Married,11,$5000 to 5999,Good,No,1,4,Cancer
40,Never married,15,$15000 - 19999,Fair,No,2,11,Aquarius
40,Married,16,$25000 or more,Fair,No,1,14,Gemini
40,Separated,12,$25000 or more,Fair,Refused,4,3,Virgo
38,Married,16,$25000 or more,Excellent,Yes,2,15,Cancer
60,Divorced,12,$25000 or more,Good,Yes,3,6-11.9 months,Sagittarius
40,Married,20,$25000 or more,Excellent,Yes,1,10,Libra
25,Widowed,9,$10000 - 14999,Good,Yes,4,31,Aquarius
65,Divorced,20,$25000 or more,Fair,No,2,8,Aries
40,Married,14,$25000 or more,Excellent,Yes,2,20,Aries
45,Never married,12,$25000 or more,Excellent,No,0,6,Capricorn
43,Married,12,$20000 - 24999,Good,Yes,3,4,Gemini
