Gss year for this respondent                       ,Respondent id number,Number of hours worked last week,Marital status,Number of children,Age of respondent,Highest year of school completed,General happiness,Happiness of marriage,Condition of health,Is life exciting or dull,Spend evening with relatives,Spend evening with friends,Spend evening at bar,Job or housework,Subjective class identification,Satisfaction with financial situation,Sex before marriage,Suicide if bankrupt,Have gun in home,Hours per day watching tv,Family income in constant $
2004,43,Not applicable,Married,1,24,12,Pretty happy,Pretty happy,Good,Exciting,Sev times a week,Once a month,Never,A little dissat,Working class,Not at all sat,Sometimes wrong,No,No,12,11321
2004,44,40,Married,Eight or more,61,15,Pretty happy,Pretty happy,Excellent,Exciting,Almost daily,Sev times a week,Never,Very satisfied,Middle class,More or less,Almst always wrg,No,No,2,49814
2004,58,Not applicable,Married,3,31,16,Very happy,Very happy,Excellent,Exciting,Sev times a mnth,Sev times a mnth,Once a year,Very satisfied,Middle class,Satisfied,Always wrong,No,No,0,49814
2004,73,30,Married,2,53,18,Pretty happy,Very happy,Excellent,Exciting,Sev times a mnth,Once a month,Never,Mod. satisfied,Middle class,Satisfied,Sometimes wrong,Yes,No,2,60380
2004,97,40,Married,2,55,12,Pretty happy,Pretty happy,Fair,Routine,Sev times a week,Once a month,Sev times a week,Very satisfied,Working class,Not at all sat,Not wrong at all,No,No,1,22643
2004,102,38,Married,1,33,19,Very happy,Very happy,Good,Exciting,Sev times a mnth,Sev times a year,Never,Very satisfied,Middle class,Satisfied,Not wrong at all,No,Refused,2,60380
2004,109,55,Married,0,35,12,Very happy,Very happy,Excellent,Exciting,Almost daily,Once a month,Once a month,Very satisfied,Working class,Satisfied,Not wrong at all,No,No,2,49814
2004,118,68,Married,5,49,14,Very happy,Very happy,Good,Exciting,Almost daily,Once a month,Once a month,Very satisfied,Working class,Satisfied,Sometimes wrong,No,No,0,33209
2004,147,55,Married,2,61,19,Very happy,Very happy,Excellent,Exciting,Once a month,Sev times a year,Sev times a mnth,Very satisfied,Upper class,Satisfied,Not wrong at all,No,No,1,128435
2004,154,Not applicable,Married,1,31,18,Very happy,Very happy,Good,Routine,Sev times a year,Sev times a mnth,Once a month,Not applicable,Middle class,More or less,Not wrong at all,Yes,No,3,60380
2004,165,38,Married,3,29,13,Pretty happy,Pretty happy,Good,Exciting,Sev times a mnth,Once a month,Never,Very satisfied,Middle class,Not at all sat,Sometimes wrong,No,No,1,40757
2004,208,50,Married,5,36,12,Very happy,Pretty happy,Excellent,Routine,Sev times a week,Never,Never,Very satisfied,Middle class,Satisfied,Sometimes wrong,No,No,0,33209
2004,217,40,Married,0,38,11,Pretty happy,Pretty happy,Good,Routine,Sev times a mnth,Sev times a year,Sev times a year,Very satisfied,Lower class,Not at all sat,Not wrong at all,No,No,4,16605
2004,236,40,Married,0,37,14,Pretty happy,Very happy,Excellent,Exciting,Once a month,Sev times a mnth,Once a month,Mod. satisfied,Working class,More or less,Not wrong at all,Yes,No,1,40757
2004,242,60,Married,1,48,14,Very happy,Very happy,Good,Exciting,Sev times a year,Sev times a year,Sev times a year,Very satisfied,Working class,Satisfied,Not wrong at all,No,No,1,40757
2004,251,Not applicable,Married,1,39,12,Very happy,Very happy,Excellent,Exciting,Sev times a week,Sev times a year,Never,Very dissatisfied,Middle class,More or less,Always wrong,No,Yes,5,60380
2004,274,40,Married,1,25,12,Pretty happy,Pretty happy,Fair,Routine,Sev times a week,Sev times a mnth,Never,Mod. satisfied,Working class,More or less,Sometimes wrong,No,No,3,33209
2004,291,Not applicable,Married,4,76,12,Pretty happy,Pretty happy,Fair,Routine,Once a month,Sev times a mnth,Never,Mod. satisfied,Upper class,More or less,Always wrong,No,No,8,27171
2004,307,Not applicable,Married,Dk na,53,15,Pretty happy,Very happy,Good,Exciting,Sev times a year,Sev times a year,Once a year,Mod. satisfied,Working class,Satisfied,Not wrong at all,No,No,4,128435
2004,312,40,Married,2,62,11,Pretty happy,Pretty happy,Fair,Routine,Almost daily,Sev times a mnth,Sev times a year,Mod. satisfied,Working class,More or less,Not wrong at all,No,Yes,2,128435
2004,315,30,Married,1,36,20,Pretty happy,Very happy,Excellent,Routine,Sev times a mnth,Sev times a year,Once a year,Mod. satisfied,Middle class,More or less,Not wrong at all,No,No,1,60380
2004,327,Not applicable,Married,3,36,12,Very happy,Very happy,Good,Exciting,Sev times a mnth,Sev times a mnth,Once a year,Very satisfied,Working class,Satisfied,Always wrong,No,No,3,12831
2004,338,Not applicable,Married,0,74,16,Pretty happy,Pretty happy,Fair,Routine,Sev times a mnth,Sev times a year,Never,Not applicable,Working class,More or less,Sometimes wrong,Yes,Yes,4,33209
2004,348,22,Married,2,35,13,Very happy,Very happy,Excellent,Routine,Once a month,Once a month,Sev times a year,Mod. satisfied,Middle class,More or less,Not wrong at all,No,No,2,40757
2004,364,80,Married,0,30,16,Pretty happy,Pretty happy,Excellent,Routine,Sev times a year,Once a month,Once a month,Mod. satisfied,Working class,Not at all sat,Sometimes wrong,No,No,1,40757
2004,376,50,Married,2,53,13,Pretty happy,Pretty happy,Excellent,Exciting,Once a month,Sev times a year,Never,Very satisfied,Middle class,Satisfied,Not wrong at all,No,No,2,128435
2004,398,40,Married,1,55,14,Very happy,Very happy,Good,Exciting,Sev times a mnth,Sev times a mnth,Once a month,Mod. satisfied,Working class,Satisfied,Not wrong at all,No,Yes,1,128435
2004,421,Not applicable,Married,2,36,16,Pretty happy,Very happy,Good,Exciting,Once a year,Once a year,Never,Don't know,Working class,Satisfied,Almst always wrg,No,No,2,49814
2004,439,Not applicable,Married,3,34,12,Pretty happy,Very happy,Fair,Routine,Once a month,Sev times a year,Once a year,Very satisfied,Middle class,More or less,Not wrong at all,No,Yes,2,60380
2004,440,50,Married,3,50,20,Very happy,Very happy,Good,Routine,Once a month,Sev times a year,Once a year,Mod. satisfied,Middle class,More or less,Sometimes wrong,No,Yes,2,128435
2004,481,42,Married,0,61,14,Pretty happy,Pretty happy,Good,Exciting,Once a month,Once a month,Sev times a year,Mod. satisfied,Working class,Satisfied,Not wrong at all,No,Yes,1,128435
2004,505,40,Married,1,43,14,Not too happy,Not too happy,Fair,Exciting,Once a month,Once a year,Sev times a year,Very satisfied,Working class,Not at all sat,Not wrong at all,No,No,2,22643
2004,531,Not applicable,Married,2,62,14,Very happy,Very happy,Excellent,Routine,Sev times a mnth,Once a month,Once a year,Very satisfied,Upper class,Satisfied,Almst always wrg,No,No,3,128435
2004,562,80,Married,1,29,16,Very happy,Very happy,Good,Routine,Sev times a mnth,Almost daily,Almost daily,Very satisfied,Working class,Satisfied,Not wrong at all,No,Yes,3,49814
2004,584,40,Married,2,30,14,Pretty happy,Pretty happy,Fair,Exciting,Sev times a year,Sev times a mnth,Once a month,Very satisfied,Working class,Not at all sat,Not wrong at all,No,Yes,3,27171
2004,594,50,Married,0,34,18,Very happy,Very happy,Excellent,Exciting,Sev times a year,Sev times a week,Never,Very satisfied,Middle class,Satisfied,Not wrong at all,No,No,0,128435
2004,614,50,Married,1,39,18,Pretty happy,Very happy,Good,Routine,Sev times a year,Sev times a year,Never,Mod. satisfied,Middle class,Satisfied,Not wrong at all,No,No,1,9812
2004,625,No answer,Married,2,41,12,Very happy,Pretty happy,Good,Routine,Almost daily,Once a month,Never,No answer,Lower class,Not at all sat,Not wrong at all,No,No,1,9812
2004,633,Not applicable,Married,2,25,16,Very happy,Very happy,Excellent,Exciting,Almost daily,Sev times a mnth,Sev times a year,Very satisfied,Working class,Not at all sat,Not wrong at all,Yes,Yes,0,40757
2004,640,40,Married,0,52,16,Very happy,Very happy,Good,Routine,Once a month,Once a month,Never,Mod. satisfied,Middle class,More or less,Always wrong,No,Yes,1,128435
2004,652,50,Married,4,41,12,Pretty happy,Not too happy,Excellent,Routine,Once a month,Sev times a year,Never,Mod. satisfied,Working class,More or less,Always wrong,No,No,2,3925
2004,670,30,Married,3,47,13,Pretty happy,Very happy,Good,Routine,Sev times a year,Once a month,Once a year,Very satisfied,Working class,More or less,Always wrong,No,No,1,49814
2004,673,53,Married,4,39,14,Very happy,Very happy,Good,Routine,Almost daily,Sev times a year,Never,Mod. satisfied,Working class,More or less,Sometimes wrong,No,No,2,22643
2004,675,Don't know,Married,2,44,12,Pretty happy,Pretty happy,Good,Routine,Never,Sev times a year,Never,Mod. satisfied,Working class,More or less,Not wrong at all,No,No,1,33209
2004,689,16,Married,1,63,18,Pretty happy,Very happy,Good,Routine,Sev times a week,Sev times a mnth,Once a month,Mod. satisfied,Middle class,Satisfied,Not wrong at all,No,No,2,128435
2004,707,40,Married,3,49,16,Pretty happy,Pretty happy,Good,Routine,Once a month,Sev times a year,Never,Very dissatisfied,Working class,Not at all sat,Always wrong,Yes,No,1,22643
2004,716,40,Married,7,53,16,Very happy,Very happy,Good,Exciting,Sev times a week,Once a year,Never,Very satisfied,Middle class,Not at all sat,Always wrong,No,No,1,27171
2004,727,2,Married,2,58,20,Very happy,Very happy,Excellent,Exciting,Once a month,Once a month,Sev times a year,Very satisfied,Middle class,Satisfied,Sometimes wrong,Yes,No,1,49814
2004,749,Not applicable,Married,1,89 or older,14,Pretty happy,Very happy,Excellent,Exciting,Once a month,Sev times a year,Once a year,Not applicable,Middle class,More or less,Sometimes wrong,No,No,5,12831
2004,750,Not applicable,Married,0,70,12,Pretty happy,Pretty happy,Excellent,Routine,Sev times a year,Never,Sev times a year,Not applicable,Working class,More or less,Sometimes wrong,No,Yes,4,16605
2004,757,14,Married,7,67,14,Very happy,Very happy,Excellent,Exciting,Sev times a year,Sev times a mnth,Once a year,Very satisfied,Middle class,More or less,Almst always wrg,No,Yes,2,27171
2004,776,25,Married,2,43,18,Very happy,Pretty happy,Excellent,Exciting,Sev times a week,Sev times a week,Sev times a mnth,Very satisfied,Upper class,Satisfied,Not wrong at all,Yes,No,0,128435
2004,779,40,Married,7,44,16,Pretty happy,Very happy,Excellent,Exciting,Sev times a mnth,Sev times a mnth,Never,Very satisfied,Middle class,Satisfied,Always wrong,No,Yes,0,27171
2004,786,55,Married,2,34,14,Very happy,Very happy,Good,Exciting,Almost daily,Sev times a mnth,Sev times a mnth,Very satisfied,Middle class,Satisfied,Always wrong,No,Yes,2,49814
2004,792,45,Married,0,45,17,Very happy,Very happy,Excellent,Exciting,Sev times a mnth,Sev times a mnth,Sev times a year,Very satisfied,Middle class,Satisfied,Not wrong at all,Yes,No,1,128435
2004,802,Not applicable,Married,2,65,19,Very happy,Very happy,Excellent,Exciting,Sev times a mnth,Sev times a year,Never,Not applicable,Middle class,More or less,Not wrong at all,No,Yes,1,27171
2004,904,40,Married,4,57,14,Not too happy,Very happy,Good,Exciting,Once a year,Sev times a year,Never,Mod. satisfied,Working class,More or less,Not wrong at all,No,No,1,6793
2004,911,25,Married,5,57,12,Pretty happy,Pretty happy,Fair,Routine,Sev times a week,Once a month,Never,Mod. satisfied,Middle class,Not at all sat,Sometimes wrong,No,Yes,2,40757
2004,916,Not applicable,Married,3,45,19,Very happy,Very happy,Excellent,Exciting,Sev times a year,Sev times a mnth,Once a year,Very satisfied,Middle class,Satisfied,Always wrong,No,No,2,128435
2004,930,Not applicable,Married,1,37,16,Not too happy,Pretty happy,Good,Exciting,Once a month,Once a month,Sev times a year,Mod. satisfied,Middle class,Satisfied,Not wrong at all,No,Yes,2,128435
2004,940,31,Married,2,55,12,Very happy,Very happy,Good,Exciting,Sev times a mnth,Sev times a year,Never,Mod. satisfied,Working class,Satisfied,Not wrong at all,No,No,1,33209
2004,992,44,Married,2,45,16,Pretty happy,Pretty happy,Excellent,Routine,Sev times a mnth,Sev times a year,Once a year,Very satisfied,Working class,More or less,Not wrong at all,No,No,1,49814
2004,1016,40,Married,0,37,12,Very happy,Very happy,Excellent,Exciting,Sev times a mnth,Once a month,Never,Very satisfied,Working class,More or less,Not wrong at all,No,Yes,2,16605
2004,1020,40,Married,0,39,14,Very happy,Very happy,Good,Exciting,Sev times a mnth,Once a month,Never,Mod. satisfied,Working class,Satisfied,Not wrong at all,No,Yes,2,49814
2004,1097,Not applicable,Married,3,75,11,Pretty happy,Very happy,Good,Exciting,Sev times a mnth,Once a month,Never,Not applicable,Working class,More or less,Always wrong,No,Yes,3,6793
2004,1101,Not applicable,Married,2,36,15,Very happy,Very happy,Excellent,Exciting,Almost daily,Sev times a mnth,Once a year,Very satisfied,Middle class,Not at all sat,Not wrong at all,No,No,0,128435
2004,1124,48,Married,4,36,13,Pretty happy,Pretty happy,Fair,Exciting,Sev times a mnth,Sev times a year,Never,Mod. satisfied,Middle class,Not at all sat,Always wrong,No,No,1,40757
2004,1154,50,Married,2,52,14,Pretty happy,Very happy,Good,Exciting,Sev times a week,Sev times a week,Sev times a mnth,Mod. satisfied,Working class,Not at all sat,Not wrong at all,No,No,3,22643
2004,1161,Not applicable,Married,2,56,12,Pretty happy,Very happy,Fair,Exciting,Sev times a mnth,Once a month,Never,Mod. satisfied,Working class,Not at all sat,Always wrong,No,No,2,8302
2004,1181,50,Married,2,38,12,Very happy,Very happy,Good,Exciting,Sev times a week,Once a month,Never,Very satisfied,Working class,Satisfied,Not wrong at all,Yes,No,1,33209
2004,1209,60,Married,3,34,20,Very happy,Not too happy,Good,Exciting,Once a month,Once a year,Once a year,Very satisfied,Middle class,Satisfied,Almst always wrg,No,No,1,49814
2004,1210,Not applicable,Married,4,37,12,Very happy,Very happy,Good,Exciting,Once a year,Once a month,Once a year,Very satisfied,Middle class,Satisfied,Always wrong,No,No,2,128435
2004,1211,40,Married,2,50,17,Very happy,Very happy,Good,Exciting,Sev times a year,Once a month,Never,Very satisfied,Middle class,Satisfied,Not wrong at all,No,Yes,2,128435
2004,1236,80,Married,3,26,12,Very happy,Pretty happy,Excellent,Exciting,Almost daily,Sev times a mnth,Never,Mod. satisfied,Working class,Satisfied,Always wrong,No,No,2,22643
2004,1245,40,Married,2,45,12,Pretty happy,Very happy,Excellent,Exciting,Sev times a week,Sev times a year,Sev times a year,Very satisfied,Middle class,Satisfied,Not wrong at all,No,Yes,3,128435
2004,1260,32,Married,1,68,12,Very happy,Very happy,Good,Routine,Sev times a mnth,Never,Never,Very satisfied,Working class,More or less,Almst always wrg,No,No,15,9812
2004,1270,41,Married,0,52,13,Pretty happy,Pretty happy,Good,Routine,Sev times a week,Sev times a mnth,Sev times a mnth,A little dissat,Working class,More or less,Not wrong at all,No,No,3,40757
2004,1279,45,Married,1,36,13,Pretty happy,Very happy,Good,Routine,Sev times a mnth,Sev times a mnth,Once a year,A little dissat,Working class,Not at all sat,Always wrong,No,Yes,4,27171
2004,1282,50,Married,3,52,12,Pretty happy,Pretty happy,Good,Exciting,Sev times a mnth,Once a month,Never,Very satisfied,Middle class,Satisfied,Not wrong at all,No,No,1,128435
2004,1311,42,Married,2,36,16,Very happy,Very happy,Good,Exciting,Once a month,Once a month,Sev times a year,Mod. satisfied,Middle class,More or less,Always wrong,Yes,Yes,3,40757
2004,1314,65,Married,4,38,15,Very happy,Very happy,Fair,Routine,Almost daily,Once a month,Sev times a year,Mod. satisfied,Middle class,Not at all sat,Almst always wrg,No,Yes,3,128435
2004,1319,24,Married,1,34,15,Very happy,Not too happy,Good,Routine,Sev times a year,Once a year,Never,Very satisfied,Middle class,More or less,Always wrong,Yes,Yes,1,22643
2004,1343,12,Married,2,48,13,Pretty happy,Pretty happy,Good,Routine,Sev times a week,Sev times a year,Sev times a year,Mod. satisfied,Working class,More or less,Always wrong,No,Yes,2,19624
2004,1356,50,Married,4,43,12,Pretty happy,Very happy,Good,Routine,Sev times a week,Once a month,Once a year,Mod. satisfied,Working class,Not at all sat,Not wrong at all,No,Yes,2,33209
2004,1368,35,Married,2,65,17,Very happy,Very happy,Good,Exciting,Sev times a week,Sev times a year,Never,Very satisfied,Middle class,Satisfied,Always wrong,No,Yes,2,33209
2004,1433,45,Married,0,28,18,Very happy,Very happy,Excellent,Exciting,Almost daily,Sev times a mnth,Sev times a week,Very satisfied,Working class,More or less,Not wrong at all,Yes,No,0,16605
2004,1469,40,Married,2,66,17,Very happy,Very happy,Excellent,Exciting,Sev times a week,Sev times a year,Never,Mod. satisfied,Working class,Not at all sat,Always wrong,No,Yes,1,128435
2004,1471,Not applicable,Married,0,26,18,Pretty happy,Very happy,Excellent,Exciting,Sev times a mnth,Sev times a week,Sev times a week,Not applicable,Middle class,More or less,Always wrong,Yes,Yes,1,22643
2004,1498,Not applicable,Married,2,37,12,Pretty happy,Very happy,Fair,Exciting,Never,Never,Never,Very satisfied,Working class,More or less,Always wrong,No,No,1,19624
2004,1502,22,Married,3,50,18,Pretty happy,Pretty happy,Excellent,Exciting,Sev times a week,Sev times a mnth,Sev times a year,Very satisfied,Middle class,More or less,Not wrong at all,No,No,1,128435
2004,1513,Not applicable,Married,3,34,12,Pretty happy,Very happy,Fair,Routine,Once a month,Sev times a mnth,Sev times a year,A little dissat,Middle class,Not at all sat,Not wrong at all,No,No,2,60380
2004,1530,Not applicable,Married,3,67,14,Pretty happy,Pretty happy,Excellent,Exciting,Sev times a week,Sev times a week,Sev times a week,Not applicable,Middle class,Satisfied,Almst always wrg,No,Yes,2,16605
2004,1546,Not applicable,Married,4,31,11,Not too happy,Very happy,Fair,Routine,Sev times a week,Sev times a mnth,Sev times a week,A little dissat,Middle class,More or less,Always wrong,No,No,5,16605
2004,1571,60,Married,3,50,20,Very happy,Very happy,Excellent,Exciting,Sev times a week,Sev times a mnth,Never,Very satisfied,Middle class,More or less,Always wrong,No,Yes,2,40757
2004,1589,Not applicable,Married,3,65,5,Not too happy,Pretty happy,Poor,Routine,Sev times a year,Sev times a year,Never,Not applicable,Middle class,Not at all sat,Sometimes wrong,No,No,12,16605
2004,1594,Not applicable,Married,3,31,20,Very happy,Very happy,Excellent,Exciting,Almost daily,Once a month,Never,Very satisfied,Middle class,Satisfied,Not wrong at all,No,No,1,128435
2004,1613,Not applicable,Married,1,60,16,Not too happy,Pretty happy,Good,Exciting,Sev times a year,Sev times a year,Once a year,Not applicable,Middle class,Satisfied,Not wrong at all,Yes,Yes,4,40757
2004,1674,40,Married,2,38,17,Pretty happy,Very happy,Good,Routine,Once a year,Once a year,Never,Mod. satisfied,Working class,Satisfied,Not wrong at all,No,Yes,4,60380
2004,1676,40,Married,2,49,12,Pretty happy,Pretty happy,Fair,Routine,Never,Once a year,Never,Mod. satisfied,Working class,More or less,Not wrong at all,No,Yes,2,128435
2004,1693,45,Married,0,29,16,Very happy,Very happy,Good,Exciting,Once a month,Sev times a year,Once a year,Mod. satisfied,Middle class,Satisfied,Always wrong,No,Yes,1,49814
2004,1710,60,Married,4,50,12,Very happy,Very happy,Good,Exciting,Almost daily,Sev times a year,Never,Mod. satisfied,Working class,Not at all sat,Always wrong,No,Yes,1,14340
2004,1721,Not applicable,Married,5,62,6,Pretty happy,Very happy,Good,Routine,Sev times a week,Sev times a year,Never,Not applicable,Working class,Satisfied,Not wrong at all,No,No,3,27171
2004,1727,Not applicable,Married,4,59,12,Pretty happy,Very happy,Good,Exciting,Sev times a week,Sev times a year,Never,Not applicable,Middle class,Satisfied,Sometimes wrong,No,Yes,3,128435
2004,1728,Not applicable,Married,3,61,14,Pretty happy,Pretty happy,Excellent,Exciting,Sev times a week,Sev times a week,Once a year,Not applicable,Middle class,Satisfied,Always wrong,No,Yes,1,22643
2004,1746,40,Married,3,39,15,Very happy,Very happy,Good,Exciting,Sev times a year,Once a month,Once a year,Very satisfied,Working class,Satisfied,Always wrong,No,Yes,2,49814
2004,1752,Not applicable,Married,3,40,17,Pretty happy,Pretty happy,Good,Exciting,Sev times a year,Sev times a year,Never,Not applicable,Middle class,Satisfied,Not wrong at all,Yes,Yes,4,60380
2004,1759,Not applicable,Married,3,59,8,Pretty happy,Very happy,Poor,Routine,Sev times a week,Never,Never,A little dissat,Lower class,More or less,Always wrong,No,No,3,22643
2004,1762,40,Married,4,41,12,Very happy,Very happy,Good,Routine,Once a month,Once a month,Once a year,Mod. satisfied,Working class,Not at all sat,Always wrong,No,No,1,27171
2004,1764,Not applicable,Married,4,82,12,Pretty happy,Very happy,Fair,Routine,Sev times a week,Sev times a week,Never,Mod. satisfied,Middle class,More or less,Almst always wrg,No,Yes,3,8302
2004,1787,40,Married,2,31,11,Pretty happy,Not too happy,Fair,Routine,Once a year,Sev times a mnth,Once a year,A little dissat,Middle class,More or less,Not wrong at all,No,No,5,3925
2004,1806,Not applicable,Married,1,57,12,Not too happy,Pretty happy,Poor,Routine,Sev times a mnth,Never,Never,Very satisfied,Lower class,Not at all sat,Not wrong at all,No,No,2,1208
2004,1809,Not applicable,Married,5,31,11,Very happy,Very happy,Good,Exciting,Sev times a week,Sev times a week,Once a year,A little dissat,Working class,More or less,Not wrong at all,No,No,3,33209
2004,1822,40,Married,1,49,13,Very happy,Very happy,Excellent,Exciting,Sev times a year,Sev times a mnth,Sev times a year,Very satisfied,Middle class,Satisfied,Not wrong at all,No,Yes,1,128435
2004,1825,40,Married,1,37,12,Pretty happy,Pretty happy,Good,Routine,Sev times a week,Sev times a year,Never,A little dissat,Working class,Not at all sat,Sometimes wrong,No,No,4,27171
2004,1831,40,Married,2,40,17,Pretty happy,Pretty happy,Excellent,Routine,Sev times a year,Once a month,Never,Very satisfied,Middle class,More or less,Always wrong,No,Yes,0,60380
2004,1861,Not applicable,Married,4,42,15,Pretty happy,Pretty happy,Excellent,Routine,Sev times a year,Sev times a week,Once a month,Mod. satisfied,Middle class,Satisfied,Not wrong at all,No,No,2,60380
2004,1899,Not applicable,Married,4,71,12,Pretty happy,Very happy,Poor,Routine,Sev times a year,Once a month,Never,Very satisfied,Working class,More or less,Always wrong,No,No,5,9812
2004,1913,45,Married,0,47,18,Very happy,Very happy,Excellent,Exciting,Sev times a mnth,Once a month,Never,Mod. satisfied,Middle class,More or less,Not wrong at all,Yes,Yes,1,128435
2004,1923,Not applicable,Married,2,56,20,Pretty happy,Very happy,Good,Exciting,Sev times a mnth,Sev times a mnth,Never,Not applicable,Middle class,Satisfied,Almst always wrg,No,No,0,128435
2004,1946,Not applicable,Married,3,55,6,Very happy,Very happy,Good,Exciting,Sev times a week,Sev times a mnth,Never,Very satisfied,Working class,More or less,Always wrong,No,No,2,6793
2004,1950,40,Married,5,61,16,Pretty happy,Pretty happy,Good,Routine,Sev times a week,Sev times a year,Once a year,Very satisfied,Middle class,More or less,Always wrong,No,No,1,128435
2004,1959,40,Married,2,50,13,Very happy,Very happy,Fair,Exciting,Sev times a mnth,Once a month,Never,Very satisfied,Working class,Satisfied,Always wrong,No,Yes,2,49814
2004,1971,24,Married,0,67,16,Pretty happy,Very happy,Good,Exciting,Never,Sev times a year,Never,Very satisfied,Middle class,Satisfied,Not wrong at all,Yes,No,0,33209
2004,1974,40,Married,2,27,17,Pretty happy,Pretty happy,Good,Routine,Sev times a week,Once a month,Sev times a year,Mod. satisfied,Working class,Not at all sat,Not wrong at all,No,No,2,14340
2004,2000,Not applicable,Married,2,61,16,Pretty happy,Very happy,Good,Routine,Once a month,Once a year,Sev times a year,Not applicable,Middle class,More or less,Not wrong at all,No,Yes,2,40757
2004,2005,50,Married,1,58,20,Very happy,Very happy,Good,Exciting,Sev times a mnth,Sev times a year,Sev times a year,Mod. satisfied,Upper class,Satisfied,Not wrong at all,No,No,2,128435
2004,2009,Not applicable,Married,0,51,18,Pretty happy,Pretty happy,Excellent,Exciting,Sev times a year,Once a month,Never,Very satisfied,Middle class,Not at all sat,Not wrong at all,No,No,1,27171
2004,2022,30,Married,2,51,12,Not too happy,Very happy,Fair,Exciting,Sev times a year,Once a month,Once a month,A little dissat,Middle class,Satisfied,Not wrong at all,No,No,2,22643
2004,2026,20,Married,3,42,14,Very happy,Very happy,Excellent,Exciting,Sev times a week,Sev times a mnth,Never,Very satisfied,Working class,Satisfied,Always wrong,No,Yes,2,302
2004,2027,15,Married,5,69,12,Pretty happy,Very happy,Excellent,Exciting,Sev times a mnth,Once a year,Never,Very satisfied,Working class,Not at all sat,Almst always wrg,No,Yes,2,16605
2004,2030,38,Married,2,52,14,Pretty happy,Very happy,Excellent,Exciting,Sev times a year,Sev times a year,Never,Very satisfied,Middle class,More or less,Not wrong at all,No,Yes,2,40757
2004,2034,45,Married,2,37,19,Very happy,Very happy,Good,Exciting,Sev times a year,Sev times a year,Sev times a mnth,Very satisfied,Middle class,More or less,Not wrong at all,Yes,No,3,128435
2004,2041,45,Married,2,32,16,Pretty happy,Very happy,Good,Routine,Sev times a year,Once a month,Once a year,Mod. satisfied,Working class,More or less,Almst always wrg,No,Yes,1,22643
2004,2086,53,Married,3,34,14,Pretty happy,Very happy,Fair,Exciting,Sev times a mnth,Sev times a mnth,Once a month,Very satisfied,Working class,More or less,Not wrong at all,No,No,1,33209
2004,2092,Not applicable,Married,0,47,17,Very happy,Very happy,Good,Exciting,Sev times a year,Sev times a mnth,Sev times a year,Very satisfied,Middle class,Satisfied,Not wrong at all,No,Yes,2,128435
2004,2100,40,Married,1,56,10,Very happy,Very happy,Excellent,Exciting,Sev times a year,Sev times a week,Once a year,Very satisfied,Middle class,Satisfied,Always wrong,No,Yes,14,49814
2004,2103,38,Married,4,38,12,Very happy,Very happy,Excellent,Exciting,Sev times a week,Sev times a mnth,Never,Mod. satisfied,Working class,More or less,Always wrong,No,Yes,0,49814
2004,2107,30,Married,2,26,14,Pretty happy,Not too happy,Good,Exciting,Once a month,Sev times a year,Once a year,Very satisfied,Lower class,More or less,Not wrong at all,Yes,No,1,16605
2004,2108,14,Married,3,59,8,Pretty happy,Pretty happy,Fair,Routine,Sev times a year,Once a month,Sev times a year,Mod. satisfied,Working class,More or less,Not wrong at all,No,Yes,4,27171
2004,2109,40,Married,4,57,12,Pretty happy,Pretty happy,Excellent,Routine,Once a year,Never,Never,Very satisfied,Working class,More or less,Not wrong at all,No,Yes,10,19624
2004,2113,8,Married,3,30,15,Very happy,Very happy,Excellent,Exciting,Sev times a mnth,Once a month,Once a year,Mod. satisfied,Middle class,Satisfied,Always wrong,Yes,Yes,2,49814
2004,2117,89,Married,2,62,13,Not too happy,Not too happy,Good,Exciting,Sev times a mnth,Never,Sev times a mnth,Very dissatisfied,Working class,Not at all sat,Always wrong,No,Yes,1,40757
2004,2135,Not applicable,Married,5,41,16,Pretty happy,Pretty happy,Good,Routine,Sev times a week,Once a month,Never,Mod. satisfied,Working class,Not at all sat,Almst always wrg,No,Yes,5,22643
2004,2137,89,Married,2,52,16,Pretty happy,Very happy,Excellent,Exciting,Once a month,Once a year,Sev times a mnth,Very satisfied,Working class,More or less,Not wrong at all,No,No,1,19624
2004,2140,50,Married,2,51,18,Very happy,Very happy,Excellent,Exciting,Sev times a week,Sev times a week,Sev times a year,A little dissat,Middle class,Satisfied,Not wrong at all,No,Yes,2,49814
2004,2148,50,Married,0,55,13,Very happy,Very happy,Good,Routine,Sev times a year,Sev times a year,Once a year,Very satisfied,Middle class,Not at all sat,Always wrong,No,Yes,2,19624
2004,2169,50,Married,1,20,12,Pretty happy,Very happy,Excellent,Exciting,Sev times a week,Sev times a mnth,Never,Very satisfied,Working class,Satisfied,Always wrong,No,No,1,14340
2004,2175,40,Married,1,45,11,Very happy,Very happy,Fair,Exciting,Almost daily,Once a month,Never,A little dissat,Working class,More or less,Not wrong at all,No,Refused,4,22643
2004,2184,Not applicable,Married,5,79,12,Pretty happy,Very happy,Poor,Routine,Sev times a week,Once a year,Never,Not applicable,Middle class,Not at all sat,Always wrong,No,Yes,4,19624
2004,2185,Not applicable,Married,3,71,12,Very happy,Very happy,Good,Exciting,Sev times a year,Never,Never,Very satisfied,Working class,More or less,Always wrong,No,Yes,2,8302
2004,2219,45,Married,2,36,12,Pretty happy,Not too happy,Good,Exciting,Sev times a year,Once a month,Sev times a mnth,Mod. satisfied,Working class,More or less,Sometimes wrong,No,No,2,19624
