Gss year for this respondent                       ,Respondent id number,Number of hours worked last week,Marital status,Number of children,Age of respondent,Highest year of school completed,General happiness,Happiness of marriage,Condition of health,Is life exciting or dull,Spend evening with relatives,Spend evening with friends,Spend evening at bar,Job or housework,Subjective class identification,Satisfaction with financial situation,Sex before marriage,Suicide if bankrupt,Have gun in home,Hours per day watching tv,Family income in constant $
2012,955,Not applicable,Married,3,41,18,Pretty happy,Pretty happy,Good,Routine,Sev times a mnth,Sev times a mnth,Sev times a year,Very satisfied,Middle class,More or less,Not wrong at all,No,No,1,155140
2012,965,55,Married,2,31,16,Very happy,Pretty happy,Excellent,Exciting,Once a month,Sev times a mnth,Once a year,Very satisfied,Middle class,More or less,Sometimes wrong,No,Yes,1,58800
2012,973,40,Married,4,40,20,Very happy,Very happy,Fair,Exciting,Sev times a year,Once a month,Never,Mod. satisfied,Middle class,More or less,Always wrong,No,No,0,22050
2012,976,5,Married,7,56,18,Very happy,Very happy,Excellent,Exciting,Sev times a week,Sev times a year,Never,Very satisfied,Middle class,Satisfied,Always wrong,No,Yes,1,155140
2012,983,40,Married,3,32,12,Very happy,Very happy,Good,Exciting,Sev times a week,Sev times a mnth,Never,Very satisfied,Working class,Satisfied,Always wrong,No,Yes,2,33075
2012,990,Not applicable,Married,0,23,15,Very happy,Very happy,Excellent,Routine,Sev times a week,Sev times a mnth,Never,Not applicable,Working class,More or less,Always wrong,No,Yes,1,13475
2012,997,Not applicable,Married,1,32,14,Very happy,Very happy,Excellent,Exciting,Sev times a week,Sev times a mnth,Never,Very satisfied,Middle class,Satisfied,Always wrong,No,Yes,4,40425
2012,999,Not applicable,Married,2,69,18,Very happy,Pretty happy,Good,Exciting,Sev times a week,Sev times a week,Never,Not applicable,Middle class,Satisfied,Not wrong at all,No,No,1,68600
2012,1026,52,Married,1,27,12,Pretty happy,Pretty happy,Fair,Exciting,Once a month,Sev times a year,Sev times a year,Mod. satisfied,Middle class,Not at all sat,Not wrong at all,Yes,Yes,2,33075
2012,1031,Not applicable,Married,2,31,16,Pretty happy,Pretty happy,Good,Exciting,Sev times a year,Once a year,Once a month,Mod. satisfied,Working class,More or less,Not wrong at all,No,No,4,49000
2012,1059,22,Married,2,30,16,Very happy,Very happy,Excellent,Exciting,Almost daily,Once a year,Never,Mod. satisfied,Middle class,More or less,Not wrong at all,No,No,3,15925
2012,1062,60,Married,3,57,14,Very happy,Very happy,Good,Exciting,Almost daily,Once a month,Never,Very satisfied,Middle class,More or less,Sometimes wrong,No,Yes,1,155140
2012,1064,8,Married,2,63,14,Very happy,Very happy,Fair,Exciting,Sev times a week,Sev times a mnth,Never,Very satisfied,Middle class,Satisfied,Always wrong,No,Yes,2,49000
2012,1079,Not applicable,Married,0,56,12,Pretty happy,Very happy,Good,Routine,Sev times a week,Once a month,Never,A little dissat,Middle class,More or less,Not wrong at all,No,No,5,40425
2012,1087,17,Married,3,42,9,Pretty happy,Very happy,Good,Routine,Sev times a week,Sev times a mnth,Once a year,Very satisfied,Middle class,Not at all sat,Not wrong at all,No,Yes,2,33075
2012,1089,Not applicable,Married,7,38,11,Very happy,Pretty happy,Good,Routine,Sev times a week,Almost daily,Sev times a week,Very satisfied,Middle class,Not at all sat,Not wrong at all,Yes,No,5,2695
2012,1096,40,Married,1,53,11,Pretty happy,Pretty happy,Poor,Routine,Sev times a mnth,Sev times a year,Sev times a mnth,Very satisfied,Working class,Not at all sat,Not wrong at all,Yes,Yes,5,33075
2012,1097,20,Married,3,40,17,Very happy,Very happy,Good,Routine,Sev times a week,Sev times a week,Never,Mod. satisfied,Middle class,Satisfied,Not wrong at all,No,No,0,155140
2012,1111,Not applicable,Married,1,62,17,Pretty happy,Pretty happy,Excellent,Routine,Never,Sev times a year,Never,Not applicable,Middle class,Satisfied,Not wrong at all,No,Yes,8,26950
2012,1114,60,Married,2,32,14,Very happy,Very happy,Good,Exciting,Once a month,Sev times a mnth,Never,Mod. satisfied,Working class,More or less,Not wrong at all,No,Yes,2,18375
2012,1141,40,Married,2,39,15,Pretty happy,Pretty happy,Good,Exciting,Once a month,Sev times a week,Sev times a mnth,Mod. satisfied,Middle class,Not at all sat,Sometimes wrong,No,No,1,26950
2012,1149,Not applicable,Married,3,77,12,Pretty happy,Very happy,Fair,Exciting,Almost daily,Sev times a year,Never,Not applicable,Middle class,More or less,Not wrong at all,No,Yes,4,22050
2012,1153,Not applicable,Married,1,36,14,Very happy,Very happy,Excellent,Routine,Almost daily,Sev times a week,Never,Very satisfied,Working class,More or less,Always wrong,No,No,2,33075
2012,1168,No answer,Married,3,47,13,Pretty happy,Pretty happy,Good,Routine,Sev times a year,Once a month,Once a year,No answer,Working class,More or less,Not wrong at all,Yes,No,2,26950
